Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
churahi,India,definitely endangered,61199,2.0,61199,True,
chuvash,Russian Federation,vulnerable,1325382,1.0,1325382,True,
chcobo,Bolivia (Plurinational State of),definitely endangered,550,2.0,550,True,
chlng,Nepal,definitely endangered,1314,2.0,1314,True,
cimbrian,Italy,definitely endangered,400,2.0,400,True,
cinta larga,Brazil,vulnerable,1440,1.0,1440,True,
cobiana,"Guinea-Bissau, Senegal",critically endangered,400,4.0,400,True,
cocamacocamilla,Peru,severely endangered,1000,3.0,1000,True,
cocamacocamilla,Brazil,critically endangered,5,4.0,5,True,
cocopa,United States of America,severely endangered,275,3.0,275,True,
cocopa,Mexico,definitely endangered,206,2.0,206,True,
coeur dalene,United States of America,critically endangered,4,4.0,4,True,
columbian,United States of America,critically endangered,25,4.0,25,True,
comanche,United States of America,severely endangered,100,3.0,100,True,
comoxsliammon,Canada,critically endangered,30,4.0,30,True,
copper island aleut,Russian Federation,critically endangered,10,4.0,10,True,
coptic,Egypt,extinct,0,5.0,0,True,
corfiot italkian,Greece,critically endangered,1000,4.0,1000,True,
cornish,United Kingdom of Great Britain and Northern Ireland,critically endangered,1000,4.0,1000,True,
corsican,"France, Italy",definitely endangered,160000,2.0,160000,True,
cosung,China,definitely endangered,47000,2.0,47000,True,
cosung,Viet Nam,definitely endangered,47000,2.0,47000,True,
cowlitz,United States of America,extinct,0,5.0,0,True,
creek,United States of America,definitely endangered,5000,2.0,5000,True,
crimean tatar,Ukraine,severely endangered,100000,3.0,100000,True,
crimean tatar,"Bulgaria, Romania",severely endangered,20000,3.0,20000,True,
crimean turkish,Ukraine,severely endangered,1000,3.0,1000,True,
crow,United States of America,definitely endangered,3500,2.0,3500,True,
csng hungarian,Romania,severely endangered,25000,3.0,25000,True,
cubeo,Colombia,vulnerable,5000,1.0,5000,True,
cubeo,Brazil,definitely endangered,150,2.0,150,True,
cuiba,"Colombia, Venezuela (Bolivarian Republic of)",severely endangered,2445,3.0,2445,True,
culina,Peru,definitely endangered,2500,2.0,2500,True,
culina,Brazil,vulnerable,2000,1.0,2000,True,
culle,Peru,extinct,0,5.0,0,True,
cuman,Hungary,extinct,0,5.0,0,True,
cuona menba,"Bhutan, China, India",vulnerable,50000,1.0,50000,True,
cupeo,United States of America,extinct,0,5.0,0,True,
cypriot arabic,Cyprus,severely endangered,1300,3.0,1300,True,
cng,Viet Nam,definitely endangered,1676,2.0,1676,True,
dabra,Indonesia,vulnerable,100,1.0,100,True,
dagur,China,definitely endangered,100000,2.0,100000,True,
dahaalik,Eritrea,critically endangered,3000,4.0,3000,True,
dahalo,Kenya,severely endangered,400,3.0,400,True,
dair,Sudan,severely endangered,1000,3.0,1000,True,
dakka,Indonesia,vulnerable,1200,1.0,1200,True,
dakkang,Lao People's Democratic Republic,definitely endangered,1198,2.0,1198,True,
dakota,Canada,definitely endangered,675,2.0,675,True,
dakpa,"Bhutan, India",definitely endangered,1000,2.0,1000,True,
dalecarlian,Sweden,definitely endangered,10000,2.0,10000,True,
dalmatian,Croatia,extinct,0,5.0,0,True,
damal,Indonesia,vulnerable,5000,1.0,5000,True,
damana,Colombia,definitely endangered,2000,2.0,2000,True,
dameli,Pakistan,severely endangered,5500,3.0,5500,True,
dampel,Indonesia,critically endangered,1,4.0,1,True,
dampelas,Indonesia,definitely endangered,1000,2.0,1000,True,
danaw,Myanmar,critically endangered,1000,4.0,1000,True,
danisi,Botswana,critically endangered,220,4.0,220,True,
danuwar,Nepal,severely endangered,31849,3.0,31849,True,
darai,Nepal,severely endangered,10210,3.0,10210,True,
dargwa,Russian Federation,vulnerable,503523,1.0,503523,True,
dari,Iran (Islamic Republic of),definitely endangered,15000,2.0,15000,True,
darma,"India, Nepal",definitely endangered,1761,2.0,1761,True,
defaka,Nigeria,critically endangered,200,4.0,200,True,
demisa,Indonesia,definitely endangered,450,2.0,450,True,
dene,Canada,vulnerable,8195,1.0,8195,True,
dengalu,Papua New Guinea,definitely endangered,140,2.0,140,True,
den,Brazil,vulnerable,875,1.0,875,True,
deori,India,definitely endangered,28000,2.0,28000,True,
desano,Brazil,definitely endangered,600,2.0,600,True,
desano,Colombia,definitely endangered,1000,2.0,1000,True,
deti,Botswana,extinct,0,5.0,0,True,
dhaiso,United Republic of Tanzania,definitely endangered,5000,2.0,5000,True,
dharawal,Australia,critically endangered,4,4.0,4,True,
dharug,Australia,critically endangered,0,4.0,0,True,
dhimal,Nepal,severely endangered,20000,3.0,20000,True,
dhurga,Australia,critically endangered,0,4.0,0,True,
diahi,Brazil,critically endangered,1,4.0,1,True,
dicamay agta,Philippines,extinct,0,5.0,0,True,
dilling,Sudan,definitely endangered,5295,2.0,5295,True,
dimasa,India,vulnerable,112000,1.0,112000,True,
dimbong,Cameroon,critically endangered,140,4.0,140,True,
dimme,Ethiopia,vulnerable,6501,1.0,6501,True,
djeoromitxi,Brazil,severely endangered,30,3.0,30,True,
djinang,Australia,definitely endangered,100,2.0,100,True,
doga,Papua New Guinea,definitely endangered,200,2.0,200,True,
dogrib,Canada,vulnerable,1675,1.0,1675,True,
dolpo,Nepal,definitely endangered,9000,2.0,9000,True,
dolgan,Russian Federation,definitely endangered,4865,2.0,4865,True,
domaaki,Pakistan,severely endangered,500,3.0,500,True,
domari,"Egypt, Israel, Jordan, Lebanon, Libyan Arab Jamahiriya, Palestine, Syrian Arab Republic",severely endangered,1000,3.0,1000,True,
dondo,Indonesia,vulnerable,13000,1.0,13000,True,
dongotono,Sudan,vulnerable,6219,1.0,6219,True,
dorasque,Panama,extinct,0,5.0,0,True,
dorig,Vanuatu,definitely endangered,200,2.0,200,True,
dororo,Solomon Islands,extinct,0,5.0,0,True,
dorro,Papua New Guinea,severely endangered,80,3.0,80,True,
doutai,Indonesia,severely endangered,70,3.0,70,True,
drubea,New Caledonia (France),vulnerable,946,1.0,946,True,
dubu,Indonesia,vulnerable,110,1.0,110,True,
duguza,Nigeria,definitely endangered,2000,2.0,2000,True,
dukha,Mongolia,severely endangered,200,3.0,200,True,
dulbu,Nigeria,critically endangered,100,4.0,100,True,
duli,Cameroon,extinct,0,5.0,0,True,
dumi,Nepal,critically endangered,8,4.0,8,True,
dumun,Papua New Guinea,critically endangered,42,4.0,42,True,
dungan,"Kazakhstan, Kyrgyzstan",definitely endangered,41000,2.0,41000,True,
dungidjau,Australia,extinct,0,5.0,0,True,
dungmali,Nepal,definitely endangered,4609,2.0,4609,True,
dupaninan agta,Philippines,vulnerable,1400,1.0,1400,True,
dura,Nepal,extinct,0,5.0,0,True,
duriankere,Indonesia,critically endangered,30,4.0,30,True,
dusner,Indonesia,critically endangered,20,4.0,20,True,
duwet,Papua New Guinea,vulnerable,300,1.0,300,True,
dyirbal,Australia,critically endangered,5,4.0,5,True,
dzala,Bhutan,vulnerable,15000,1.0,15000,True,
dzhidi,Iran (Islamic Republic of),definitely endangered,30000,2.0,30000,True,
dzongkha,Bhutan,vulnerable,160000,1.0,160000,True,
dw,Brazil,vulnerable,120,1.0,120,True,
east cape yupik,Russian Federation,critically endangered,70,4.0,70,True,
east franconian,"Germany, Czech Republic",vulnerable,1000,1.0,1000,True,
east greenlandic,Greenland (Kingdom of Denmark),definitely endangered,3000,2.0,3000,True,
eastern abenaki,United States of America,extinct,0,5.0,0,True,
eastern cham,Viet Nam,definitely endangered,50000,2.0,50000,True,
eastern chocho,Mexico,severely endangered,181,3.0,181,True,
eastern cuicatec,Mexico,vulnerable,1641,1.0,1641,True,
eastern kamchadal,Russian Federation,extinct,0,5.0,0,True,
eastern khanty,Russian Federation,definitely endangered,3000,2.0,3000,True,
eastern mansi,Russian Federation,critically endangered,1000,4.0,1000,True,
eastern mari,Russian Federation,definitely endangered,414211,2.0,414211,True,
eastern mazahua,Mexico,definitely endangered,88001,2.0,88001,True,
eastern montagnais,Canada,vulnerable,4180,1.0,4180,True,
eastern ojibwe,Canada,severely endangered,620,3.0,620,True,
eastern pomo,United States of America,extinct,0,5.0,0,True,
eastern popoloc,Mexico,vulnerable,3544,1.0,3544,True,
eastern slovak,"Slovakia, Ukraine",vulnerable,1000000,1.0,1000000,True,
eastern tlapanec,Mexico,vulnerable,3088,1.0,3088,True,
ebang,Sudan,severely endangered,4412,3.0,4412,True,
ediamat,Guinea-Bissau,vulnerable,22025,1.0,22025,True,
eel river athabaskan,United States of America,extinct,0,5.0,0,True,
ega,Côte d'Ivoire,severely endangered,1000,3.0,1000,True,
el hugeirat,Sudan,severely endangered,1000,3.0,1000,True,
eliri,Sudan,severely endangered,0,3.0,0,True,
elmolo,Kenya,extinct,0,5.0,0,True,
eloxochitln mazatec,Mexico,vulnerable,3384,1.0,3384,True,
emae,Vanuatu,vulnerable,200,1.0,200,True,
eman,Cameroon,severely endangered,800,3.0,800,True,
embera,Colombia,vulnerable,95000,1.0,95000,True,
embera,Panama,vulnerable,22485,1.0,22485,True,
emilianromagnol,"Italy, San Marino",definitely endangered,2000000,2.0,2000000,True,
emplawas,Indonesia,definitely endangered,220,2.0,220,True,
en,Myanmar,critically endangered,1000,4.0,1000,True,
enawennaw,Brazil,vulnerable,445,1.0,445,True,
enggano,Indonesia,vulnerable,700,1.0,700,True,
eotile,Côte d'Ivoire,extinct,0,5.0,0,True,
erokwanas,Indonesia,vulnerable,200,1.0,200,True,
ersu,China,definitely endangered,15000,2.0,15000,True,
erzya,Russian Federation,definitely endangered,400000,2.0,400000,True,
ese eja,"Bolivia (Plurinational State of), Peru",definitely endangered,782,2.0,782,True,
even,Russian Federation,severely endangered,1000,3.0,1000,True,
evenki,China,severely endangered,4000,3.0,4000,True,
evenki,Russian Federation,severely endangered,1000,3.0,1000,True,
evenki,"Mongolia, Russian Federation",severely endangered,1000,3.0,1000,True,
eyak,United States of America,extinct,0,5.0,0,True,
faetar,Italy,definitely endangered,600,2.0,600,True,
fagauvea,New Caledonia (France),vulnerable,1107,1.0,1107,True,
faghani,Solomon Islands,vulnerable,1000,1.0,1000,True,
faire atta,Philippines,severely endangered,300,3.0,300,True,
faita,Papua New Guinea,severely endangered,57,3.0,57,True,
fania,Chad,severely endangered,1100,3.0,1100,True,
faroese,Faroe Islands,vulnerable,60000,1.0,60000,True,
fayu,Indonesia,vulnerable,350,1.0,350,True,
feroge,Sudan,vulnerable,8000,1.0,8000,True,
figuig,Morocco,vulnerable,1000,1.0,1000,True,
filomeno mata totonac,Mexico,vulnerable,11710,1.0,11710,True,
fongoro,Chad,severely endangered,1000,3.0,1000,True,
forest enets,Russian Federation,critically endangered,20,4.0,20,True,
forest nenets,Russian Federation,severely endangered,1500,3.0,1500,True,
forest yukagir,Russian Federation,critically endangered,50,4.0,50,True,
foya,Indonesia,critically endangered,20,4.0,20,True,
franccomtois,"France, Switzerland",severely endangered,1000,3.0,1000,True,
francoprovenal,"France, Italy, Switzerland",definitely endangered,100000,2.0,100000,True,
friulian,Italy,definitely endangered,600000,2.0,600000,True,
fwi,New Caledonia (France),vulnerable,1131,1.0,1131,True,
fyem,Nigeria,severely endangered,3000,3.0,3000,True,
gaagudju,Australia,extinct,0,5.0,0,True,
gadaba,India,critically endangered,26262,4.0,26262,True,
gadang,Chad,definitely endangered,2500,2.0,2500,True,
gafat,Ethiopia,extinct,0,5.0,0,True,
gagauz,"Republic of Moldova, Ukraine",definitely endangered,180000,2.0,180000,True,
gagauz,"Bulgaria, Romania",severely endangered,400,3.0,400,True,
gagauz,Bulgaria,critically endangered,1000,4.0,1000,True,
gagauz,"Greece, The former Yugoslav Republic of Macedonia, Turkey",severely endangered,1000,3.0,1000,True,
gajerrong,Australia,critically endangered,2,4.0,2,True,
galibi marworno,Brazil,vulnerable,2000,1.0,2000,True,
gallo,France,severely endangered,200000,3.0,200000,True,
gallosicilian,Italy,definitely endangered,65000,2.0,65000,True,
gallurese,Italy,definitely endangered,100000,2.0,100000,True,
galo,India,vulnerable,35000,1.0,35000,True,
gambiri,Afghanistan,severely endangered,1000,3.0,1000,True,
gamilaraay,Australia,critically endangered,5,4.0,5,True,
ganan,Myanmar,severely endangered,500,3.0,500,True,
ganggalidda,Australia,critically endangered,2,4.0,2,True,
gangou,China,severely endangered,1000,3.0,1000,True,
gangte,India,definitely endangered,15000,2.0,15000,True,
gao,Solomon Islands,vulnerable,550,1.0,550,True,
gardiol,Italy,severely endangered,340,3.0,340,True,
garhwali,India,vulnerable,279500,1.0,279500,True,
garrwa,Australia,severely endangered,40,3.0,40,True,
garuwahi,Papua New Guinea,definitely endangered,225,2.0,225,True,
garfuna,Honduras,vulnerable,98000,1.0,98000,True,
garfuna,Belize,vulnerable,14061,1.0,14061,True,
garfuna,Guatemala,vulnerable,3564,1.0,3564,True,
garfuna,Nicaragua,critically endangered,0,4.0,0,True,
gascon,"Spain, France",definitely endangered,250000,2.0,250000,True,
gatsama  ganjule  harro,Ethiopia,definitely endangered,2000,2.0,2000,True,
gavio de rondnia,Brazil,vulnerable,436,1.0,436,True,
gavio do par,Brazil,vulnerable,476,1.0,476,True,
gawarbati,"Pakistan, Afghanistan",definitely endangered,9500,2.0,9500,True,
gazhuo,China,definitely endangered,4000,2.0,4000,True,
gazi,Iran (Islamic Republic of),definitely endangered,7000,2.0,7000,True,
geez,Ethiopia,extinct,0,5.0,0,True,
gebe,Indonesia,vulnerable,2000,1.0,2000,True,
geji cluster,Nigeria,severely endangered,6000,3.0,6000,True,
geme,Central African Republic,critically endangered,550,4.0,550,True,
gera,Nigeria,vulnerable,200000,1.0,200000,True,
geta,India,severely endangered,3000,3.0,3000,True,
getmata,Papua New Guinea,extinct,0,5.0,0,True,
gey,Cameroon,extinct,0,5.0,0,True,
ghadames,Libyan Arab Jamahiriya,vulnerable,2000,1.0,2000,True,
ghale,Nepal,vulnerable,28989,1.0,28989,True,
ghomara,Morocco,critically endangered,100,4.0,100,True,
gitksan,Canada,severely endangered,710,3.0,710,True,
godoberi,Russian Federation,definitely endangered,4000,2.0,4000,True,
gondi,India,vulnerable,2713790,1.0,2713790,True,
gong,Thailand,severely endangered,80,3.0,80,True,
gongduk,Bhutan,vulnerable,1000,1.0,1000,True,
gooniyandi,Australia,severely endangered,60,3.0,60,True,
gorap,Indonesia,definitely endangered,1000,2.0,1000,True,
gorovu,Papua New Guinea,severely endangered,50,3.0,50,True,
gorum,India,definitely endangered,5000,2.0,5000,True,
gothic,Ukraine,extinct,0,5.0,0,True,
gottscheerish,Slovenia,critically endangered,1000,4.0,1000,True,
goundo,Chad,critically endangered,30,4.0,30,True,
gowro,Pakistan,severely endangered,200,3.0,200,True,
grass koiari,Papua New Guinea,vulnerable,1800,1.0,1800,True,
great andamanese,India,critically endangered,5,4.0,5,True,
green gelao,China,critically endangered,300,4.0,300,True,
green gelao,Viet Nam,critically endangered,300,4.0,300,True,
griko,Italy,severely endangered,20000,3.0,20000,True,
gros ventre,United States of America,critically endangered,10,4.0,10,True,
guajajara,Brazil,vulnerable,14000,1.0,14000,True,
guajiro,"Colombia, Venezuela (Bolivarian Republic of)",vulnerable,318500,1.0,318500,True,
guaj,Brazil,vulnerable,283,1.0,283,True,
guambiano,Colombia,definitely endangered,23462,2.0,23462,True,
guanche,Spain,extinct,0,5.0,0,True,
guan,Paraguay,critically endangered,1000,4.0,1000,True,
guaran boliviano,"Argentina, Bolivia (Plurinational State of)",vulnerable,40000,1.0,40000,True,
guarasu,Brazil,critically endangered,2,4.0,2,True,
guarayu,Bolivia (Plurinational State of),definitely endangered,5000,2.0,5000,True,
guatuso,Costa Rica,severely endangered,300,3.0,300,True,
guat,Brazil,critically endangered,5,4.0,5,True,
guayabero,Colombia,definitely endangered,1118,2.0,1118,True,
guernsey french,United Kingdom of Great Britain and Northern Ireland,severely endangered,1327,3.0,1327,True,
guichong,China,vulnerable,7000,1.0,7000,True,
gule,Sudan,extinct,0,5.0,0,True,
guliguli,Solomon Islands,extinct,0,5.0,0,True,
gumbaynggirr,Australia,critically endangered,40,4.0,40,True,
gupapuyngu,Australia,vulnerable,300,1.0,300,True,
gura,Nigeria,severely endangered,3000,3.0,3000,True,
guranalum,Papua New Guinea,critically endangered,4,4.0,4,True,
gurdumbaaru,Nigeria,severely endangered,15000,3.0,15000,True,
gurrgoni,Australia,vulnerable,60,1.0,60,True,
gurung,Nepal,definitely endangered,338925,2.0,338925,True,
gusilay,Senegal,vulnerable,13950,1.0,13950,True,
gutnish,Sweden,definitely endangered,5000,2.0,5000,True,
gutob,India,vulnerable,40000,1.0,40000,True,
guugu yimidhirr,Australia,vulnerable,1000,1.0,1000,True,
gweno,United Republic of Tanzania,critically endangered,10,4.0,10,True,
gwichin,Canada,severely endangered,250,3.0,250,True,
gwichin,United States of America,severely endangered,150,3.0,150,True,
gyasumdo,Nepal,definitely endangered,0,2.0,0,True,
gyele,"Cameroon, Equatorial Guinea",definitely endangered,4280,2.0,4280,True,
gyem,Nigeria,critically endangered,1000,4.0,1000,True,
gnna kne,Argentina,extinct,0,5.0,0,True,
halung tibetan,Nepal,definitely endangered,15000,2.0,15000,True,
habu,Timor-Leste,vulnerable,1000,1.0,1000,True,
hachij,Japan,definitely endangered,8000,2.0,8000,True,
hadza,United Republic of Tanzania,vulnerable,975,1.0,975,True,
haisla,Canada,critically endangered,110,4.0,110,True,
halkomelem,"Canada, United States of America",severely endangered,375,3.0,375,True,
han,United States of America,critically endangered,12,4.0,12,True,
han,Canada,critically endangered,1000,4.0,1000,True,
handuri,India,critically endangered,138,4.0,138,True,
hanis,United States of America,extinct,0,5.0,0,True,
harakmbut,Peru,definitely endangered,1206,2.0,1206,True,
harsusi,Oman,definitely endangered,3000,2.0,3000,True,
havasupai,United States of America,definitely endangered,500,2.0,500,True,
hawaiian,United States of America,critically endangered,1000,4.0,1000,True,
hawrami,"Iran (Islamic Republic of), Iraq",definitely endangered,23000,2.0,23000,True,
hayu,Nepal,critically endangered,200,4.0,200,True,
heiban,Sudan,vulnerable,90000,1.0,90000,True,
heiltsuk,Canada,critically endangered,105,4.0,105,True,
helong,Indonesia,severely endangered,9000,3.0,9000,True,
hermit,Papua New Guinea,critically endangered,20,4.0,20,True,
hidatsa,United States of America,definitely endangered,200,2.0,200,True,
higher reservoir mazatec,Mexico,vulnerable,20665,1.0,20665,True,
highland chontal,Mexico,severely endangered,2410,3.0,2410,True,
highland mazatec,Mexico,vulnerable,33859,1.0,33859,True,
hijuk,Cameroon,critically endangered,400,4.0,400,True,
hill miri,India,definitely endangered,12000,2.0,12000,True,
hinukh,Russian Federation,definitely endangered,548,2.0,548,True,
hiw,Vanuatu,definitely endangered,150,2.0,150,True,
hixkaryna,Brazil,vulnerable,600,1.0,600,True,
hlersu,China,vulnerable,15000,1.0,15000,True,
hmar,India,vulnerable,50000,1.0,50000,True,
ho,India,vulnerable,400000,1.0,400000,True,
hoanya,China,extinct,0,5.0,0,True,
hoava,Solomon Islands,vulnerable,600,1.0,600,True,
hobyot,"Oman, Yemen",severely endangered,400,3.0,400,True,
hodi,Venezuela (Bolivarian Republic of),vulnerable,600,1.0,600,True,
holikachuk,United States of America,critically endangered,5,4.0,5,True,
homa,Sudan,extinct,0,5.0,0,True,
homshetsma,"Georgia, Russian Federation",severely endangered,1000,3.0,1000,True,
homshetsma,Turkey,definitely endangered,1000,2.0,1000,True,
hopi,United States of America,vulnerable,5000,1.0,5000,True,
horo,Chad,extinct,0,5.0,0,True,
hoti,Indonesia,critically endangered,10,4.0,10,True,
hozo,Ethiopia,definitely endangered,3000,2.0,3000,True,
hpun,Myanmar,extinct,0,5.0,0,True,
hrangkhol,India,vulnerable,19000,1.0,19000,True,
hu,China,definitely endangered,1000,2.0,1000,True,
hualapai,United States of America,vulnerable,1000,1.0,1000,True,
huasteca nhuatl,Mexico,vulnerable,463183,1.0,463183,True,
huehuetla tepehua,Mexico,definitely endangered,1603,2.0,1603,True,
huehuetln mazatec,Mexico,vulnerable,1169,1.0,1169,True,
huichol,Mexico,vulnerable,35724,1.0,35724,True,
huilliche,Chile,critically endangered,2000,4.0,2000,True,
huitoto,"Colombia, Peru",definitely endangered,10000,2.0,10000,True,
huitoto,Brazil,extinct,0,5.0,0,True,
hukumina,Indonesia,extinct,0,5.0,0,True,
hulaula,Israel,severely endangered,10000,3.0,10000,True,
hulaula,Iran (Islamic Republic of),extinct,1000,5.0,1000,True,
hulung,Indonesia,critically endangered,10,4.0,10,True,
hung,"Lao People's Democratic Republic, Viet Nam",definitely endangered,1000,2.0,1000,True,
hunzib,Russian Federation,definitely endangered,1839,2.0,1839,True,
hupa,United States of America,critically endangered,12,4.0,12,True,
hupda,Brazil,vulnerable,1900,1.0,1900,True,
hupda,Colombia,definitely endangered,1500,2.0,1500,True,
huronwyandot,United States of America,extinct,0,5.0,0,True,
huronwyandot,Canada,critically endangered,1000,4.0,1000,True,
huzhu monguor,China,severely endangered,50000,3.0,50000,True,
hya,"Cameroon, Nigeria",severely endangered,940,3.0,940,True,
hrtevin,Turkey,critically endangered,1000,4.0,1000,True,
ibu,Indonesia,critically endangered,10,4.0,10,True,
idu,"China, India",definitely endangered,11101,2.0,11101,True,
iduh,Lao People's Democratic Republic,critically endangered,50,4.0,50,True,
iduh,Viet Nam,critically endangered,5,4.0,5,True,
ifo,Vanuatu,extinct,0,5.0,0,True,
ik,Uganda,severely endangered,2000,3.0,2000,True,
ikpeng,Brazil,vulnerable,342,1.0,342,True,
ili turk,China,severely endangered,120,3.0,120,True,
ilue,Nigeria,critically endangered,5000,4.0,5000,True,
imeraguen,Mauritania,definitely endangered,534,2.0,534,True,
inari saami,Finland,severely endangered,400,3.0,400,True,
indri,Sudan,severely endangered,700,3.0,700,True,
ineseo,United States of America,extinct,0,5.0,0,True,
inga,Colombia,severely endangered,8000,3.0,8000,True,
ingalik,United States of America,critically endangered,14,4.0,14,True,
ingrian,Russian Federation,severely endangered,200,3.0,200,True,
ingush,Russian Federation,vulnerable,405343,1.0,405343,True,
inkhokvari,Russian Federation,definitely endangered,1000,2.0,1000,True,
inuinnaqtun,Canada,definitely endangered,890,2.0,890,True,
ipai,United States of America,critically endangered,6,4.0,6,True,
iquito,Peru,critically endangered,25,4.0,25,True,
iranxe,Brazil,critically endangered,10,4.0,10,True,
iresim,Indonesia,severely endangered,70,3.0,70,True,
irish,"Ireland, United Kingdom of Great Britain and Northern Ireland",definitely endangered,44000,2.0,44000,True,
irula,India,vulnerable,200000,1.0,200000,True,
isarog agta,Philippines,critically endangered,5,4.0,5,True,
ishkashimi,Tajikistan,severely endangered,1000,3.0,1000,True,
isirawa,Indonesia,vulnerable,1800,1.0,1800,True,
island carib,Dominica,extinct,0,5.0,0,True,
island chumash,United States of America,extinct,0,5.0,0,True,
isthmus nhuatl,Mexico,vulnerable,26632,1.0,26632,True,
istriot,Croatia,severely endangered,400,3.0,400,True,
istroromanian,Croatia,severely endangered,300,3.0,300,True,
isu,Cameroon,severely endangered,800,3.0,800,True,
itelmen,Russian Federation,critically endangered,100,4.0,100,True,
iteri,Papua New Guinea,severely endangered,90,3.0,90,True,
itik,Indonesia,vulnerable,80,1.0,80,True,
itonama,Bolivia (Plurinational State of),critically endangered,5,4.0,5,True,
itz,Guatemala,critically endangered,1094,4.0,1094,True,
iwaidja,Australia,vulnerable,200,1.0,200,True,
ixcatec,Mexico,critically endangered,21,4.0,21,True,
ixcatln mazatec,Mexico,vulnerable,8593,1.0,8593,True,
ixil,Guatemala,vulnerable,83574,1.0,83574,True,
ixil,Mexico,critically endangered,64,4.0,64,True,
ixtenco otom,Mexico,severely endangered,461,3.0,461,True,
iyive,Cameroon,severely endangered,1000,3.0,1000,True,
iapari,Peru,critically endangered,600,4.0,600,True,
jad,"India, Pakistan",definitely endangered,1000,2.0,1000,True,
jah hut,Malaysia,severely endangered,1500,3.0,1500,True,
jahai,Malaysia,critically endangered,1000,4.0,1000,True,
jakaltek,Guatemala,definitely endangered,34038,2.0,34038,True,
jakaltek,Mexico,severely endangered,504,3.0,504,True,
jamamad,Brazil,vulnerable,800,1.0,800,True,
jaminjung,Australia,severely endangered,15,3.0,15,True,
jangshung,India,definitely endangered,2000,2.0,2000,True,
jaqaru,Peru,severely endangered,750,3.0,750,True,
jarawa,India,critically endangered,31,4.0,31,True,
jarawra,Brazil,vulnerable,180,1.0,180,True,
jaunsari,India,definitely endangered,114733,2.0,114733,True,
java,Brazil,definitely endangered,800,2.0,800,True,
javindo creole,Indonesia,critically endangered,1000,4.0,1000,True,
jawe,New Caledonia (France),vulnerable,729,1.0,729,True,
jawoyn,Australia,severely endangered,20,3.0,20,True,
jaya,Chad,severely endangered,2200,3.0,2200,True,
jebero,Peru,critically endangered,100,4.0,100,True,
jeju,Republic of Korea,critically endangered,1000,4.0,1000,True,
jemez,United States of America,vulnerable,3000,1.0,3000,True,
jeri,Côte d'Ivoire,severely endangered,1500,3.0,1500,True,
jero,Nepal,vulnerable,2000,1.0,2000,True,
jersey french,United Kingdom of Great Britain and Northern Ireland,severely endangered,2874,3.0,2874,True,
jibbali,Oman,severely endangered,5000,3.0,5000,True,
jicarilla apache,United States of America,severely endangered,300,3.0,300,True,
jilbe,Nigeria,critically endangered,100,4.0,100,True,
jingulu,Australia,severely endangered,14,3.0,14,True,
jinuo,China,definitely endangered,12000,2.0,12000,True,
jiongnai bunu,China,definitely endangered,1000,2.0,1000,True,
jirel,Nepal,definitely endangered,4919,2.0,4919,True,
jitnu,Colombia,definitely endangered,1000,2.0,1000,True,
jolakassa,Senegal,vulnerable,40850,1.0,40850,True,
jone,China,definitely endangered,24000,2.0,24000,True,
jonkor bourmataguil,Chad,severely endangered,1500,3.0,1500,True,
jor,Bolivia (Plurinational State of),critically endangered,0,4.0,0,True,
juang,India,definitely endangered,23000,2.0,23000,True,
judeoberber,Israel,severely endangered,30000,3.0,30000,True,
judeoberber,Morocco,extinct,0,5.0,0,True,
judezmo,Israel,severely endangered,400000,3.0,400000,True,
judezmo,"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia",severely endangered,1000,3.0,1000,True,
juhur,"Azerbaijan, Russian Federation",definitely endangered,3016,2.0,3016,True,
juhur,Israel,definitely endangered,1000,2.0,1000,True,
juk,Lao People's Democratic Republic,definitely endangered,15000,2.0,15000,True,
juma,Brazil,critically endangered,5,4.0,5,True,
kemant,Ethiopia,severely endangered,1500,3.0,1500,True,
kiche,Guatemala,vulnerable,890596,1.0,890596,True,
kiche,Mexico,definitely endangered,226,2.0,226,True,
kaapr,Brazil,vulnerable,991,1.0,991,True,
kaande,Gabon,severely endangered,1000,3.0,1000,True,
kabardcherkes,"Russian Federation, Turkey",vulnerable,650000,1.0,650000,True,
kabui,India,vulnerable,95000,1.0,95000,True,
kachari,India,definitely endangered,59000,2.0,59000,True,
kaco,Cambodia,definitely endangered,1000,2.0,1000,True,
kadai,Indonesia,definitely endangered,200,2.0,200,True,
kadaru,Sudan,definitely endangered,12360,2.0,12360,True,
kadiwu,Brazil,definitely endangered,1600,2.0,1600,True,
kadu,Myanmar,severely endangered,1000,3.0,1000,True,
kaibobo,Indonesia,definitely endangered,250,2.0,250,True,
kaiep,Papua New Guinea,vulnerable,250,1.0,250,True,
kaike,Nepal,definitely endangered,794,2.0,794,True,
kaingang,Brazil,definitely endangered,18500,2.0,18500,True,
kaiow guarani,Brazil,vulnerable,20000,1.0,20000,True,
kairuimidiki,Timor-Leste,vulnerable,1000,1.0,1000,True,
kaixna,Brazil,critically endangered,1,4.0,1,True,
kaiy,Indonesia,vulnerable,250,1.0,250,True,
kaki ae,Papua New Guinea,vulnerable,266,1.0,266,True,
kalamo,Papua New Guinea,severely endangered,100,3.0,100,True,
kalao,Indonesia,definitely endangered,400,2.0,400,True,
