Language,Countries,Degree of endangerment,Number of speakers,Endangerment_Level
pmono,Venezuela (Bolivarian Republic of),Critically endangered,1,4
qaanjobal,Guatemala,Vulnerable,139830,1
qeqchi belize,Belize,Vulnerable,12366,1
qeqchi guatemala,Guatemala,Vulnerable,716101,1
qawasqar,Chile,Critically endangered,20,4
qikiqtaaluk nigiani,Canada,Vulnerable,5740,1
qikiqtaaluk uannangani,Canada,Vulnerable,4550,1
quapaw,United States of America,Extinct,0,5
quechan,United States of America,Definitely endangered,150,2
quechua of ancash and hunuco,Peru,Definitely endangered,600000,2
quechua of ayacucho,Peru,Definitely endangered,850000,2
quechua of cajamarca,Peru,Severely endangered,30000,3
quechua of cajatambo pasco and northern junn,Peru,Severely endangered,40000,3
quechua of chachapoyas,Peru,Critically endangered,500,4
quechua of cuzco,Peru,Safe,1115000,0
quechua of northern bolivia,Bolivia (Plurinational State of),Vulnerable,100000,1
quechua of pacaraos,Peru,Critically endangered,35,4
quechua of peruvian amazonia,Peru,Vulnerable,7200,1
quechua of san martn,Peru,Severely endangered,6000,3
quechua of santiago del estero,Argentina,Definitely endangered,80000,2
quechua of southern bolivia,Bolivia (Plurinational State of),Safe,2300000,0
quechua of yauyos,Peru,Critically endangered,1700,4
quichua caar and azuay,Ecuador,Severely endangered,90000,3
quichua cotopaxi tungurahua and chimborazo,Ecuador,Definitely endangered,300000,2
quichua imbabura,Ecuador,Definitely endangered,50000,2
quichua loja,Ecuador,Severely endangered,45000,3
quichua napo,Ecuador,Definitely endangered,40000,2
quichua pastaza,Ecuador,Definitely endangered,30000,2
quichua salasaca,Ecuador,Definitely endangered,8000,2
quileute,United States of America,Extinct,0,5
quinault,United States of America,Extinct,1000,5
qwarenya,Ethiopia,Extinct,0,5
rabha,India,Vulnerable,150000,1
rahambuu,Indonesia,Vulnerable,4000,1
raji,Nepal,Severely endangered,2413,3
rama,Nicaragua,Critically endangered,30,4
rama cay creole,Nicaragua,Definitely endangered,1000,2
rangkas,India,Extinct,0,5
rao,China,Definitely endangered,15000,2
rapa,French Polynesia (France),Severely endangered,400,3
rapanui,Chile,Severely endangered,2500,3
rarotongan,Cook Islands,Vulnerable,43000,1
raute,Nepal,Severely endangered,518,3
razihi,Yemen,Definitely endangered,75000,2
red gelao china,China,Critically endangered,400,4
red gelao viet nam,Viet Nam,Critically endangered,20,4
rembarrnga,Australia,Critically endangered,10,4
remo,India,Severely endangered,2500,3
rengma,India,Vulnerable,61000,1
repanbitip,Vanuatu,Definitely endangered,90,2
reshe,Nigeria,Vulnerable,44000,1
resian,Italy,Definitely endangered,1000,2
resgaro,Peru,Critically endangered,5,4
reyesano,Bolivia (Plurinational State of),Critically endangered,1000,4
rhenish franconian,"Germany, France",Vulnerable,1000,1
riang,Myanmar,Critically endangered,1000,4
rigolet inuktitut,Canada,Critically endangered,1000,4
rikbaktsa,Brazil,Severely endangered,900,3
rio grande keresan,United States of America,Definitely endangered,6685,2
ririo,Solomon Islands,Critically endangered,18,4
ritharrngu,Australia,Definitely endangered,66,2
river guarijo,Mexico,Vulnerable,617,1
romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro",Safe,3500000,0
romani colombia,Colombia,Vulnerable,4858,1
romansh,Switzerland,Definitely endangered,35095,2
rongpo,India,Vulnerable,8000,1
roshorvi,Tajikistan,Severely endangered,2500,3
rotuman,Fiji,Vulnerable,3000,1
ruc,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,250,2
ruga,India,Critically endangered,100,4
rukai,China,Vulnerable,2000,1
rumai,Myanmar,Severely endangered,1000,3
rushani,"Tajikistan, Afghanistan",Definitely endangered,30000,2
rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine",Vulnerable,1000000,1
rutul,"Azerbaijan, Russian Federation",Definitely endangered,29383,2
saaroa,China,Critically endangered,1500,4
saba,Chad,Definitely endangered,1335,2
saban,Brazil,Critically endangered,3,4
sach,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,1000,2
saek,"Lao People's Democratic Republic, Thailand",Definitely endangered,25000,2
sahaptin,United States of America,Severely endangered,100,3
saisiyat,China,Severely endangered,200,3
sak bangladesh,Bangladesh,Severely endangered,5500,3
sak myanmar,Myanmar,Vulnerable,3500,1
sakapultek,Guatemala,Definitely endangered,6973,2
sake,Gabon,Severely endangered,1000,3
sakurabiat,Brazil,Severely endangered,25,3
salamy,Brazil,Critically endangered,2,4
salar,China,Vulnerable,104503,1
salas,Indonesia,Severely endangered,50,3
saluan,Indonesia,Vulnerable,1500,1
samatao,China,Critically endangered,100,4
samatu,China,Critically endangered,500,4
sambe,Nigeria,Critically endangered,2,4
samei,China,Severely endangered,12000,3
samosa,Papua New Guinea,Severely endangered,94,3
sampang,Nepal,Vulnerable,10810,1
samrai,Cambodia,Critically endangered,1000,4
samray,"Cambodia, Thailand",Critically endangered,50,4
samre,Cambodia,Critically endangered,120,4
san andres creole,Colombia,Vulnerable,1000,1
san dionisio del mar huave,Mexico,Definitely endangered,5165,2
san francisco del mar huave,Mexico,Critically endangered,6874,4
san mateo del mar huave,Mexico,Vulnerable,12667,1
sanapan,Paraguay,Definitely endangered,1000,2
sanema brazil,Brazil,Vulnerable,462,1
sanema venezuela,Venezuela (Bolivarian Republic of),Vulnerable,393,1
sanenyo,India,Critically endangered,1300,4
sangkong,China,Vulnerable,2000,1
sanglechi,"Tajikistan, Afghanistan",Severely endangered,2500,3
sangtam,India,Vulnerable,84000,1
sanhaja of srair,Morocco,Critically endangered,0,4
santa,China,Vulnerable,360000,1
santa mara del mar huave,Mexico,Severely endangered,862,3
sanyi,China,Severely endangered,8000,3
saparua,Indonesia,Definitely endangered,10216,2
saponi,Indonesia,Critically endangered,4,4
sap,Venezuela (Bolivarian Republic of),Critically endangered,50,4
sarcee,Canada,Critically endangered,75,4
sarikoli,China,Definitely endangered,22000,2
sarwa,Chad,Definitely endangered,2000,2
saryg yugur,China,Severely endangered,4600,3
sassarese,Italy,Definitely endangered,120000,2
satawal,Micronesia (Federated States of),Severely endangered,458,3
saterlandic,Germany,Severely endangered,1000,3
satr,Nepal,Vulnerable,40260,1
saukfox,United States of America,Critically endangered,200,4
saulteau,Canada,Vulnerable,6558,1
sause,Indonesia,Severely endangered,250,3
savi,"Pakistan, Afghanistan",Definitely endangered,3000,2
savo,Solomon Islands,Definitely endangered,1147,2
sawkna,Libyan Arab Jamahiriya,Critically endangered,6000,4
sayultec,Mexico,Definitely endangered,3150,2
scanian,"Denmark, Sweden",Vulnerable,1000,1
scots,United Kingdom of Great Britain and Northern Ireland,Safe,1500000,0
scottish gaelic,United Kingdom of Great Britain and Northern Ireland,Definitely endangered,58552,2
sechelt,Canada,Critically endangered,15,4
segeju,United Republic of Tanzania,Severely endangered,7000,3
sei,Sierra Leone,Extinct,0,5
sekani,Canada,Critically endangered,75,4
seke,Nepal,Vulnerable,500,1
semai,Malaysia,Severely endangered,15000,3
semaq beri,Malaysia,Critically endangered,1500,4
semelai,Malaysia,Severely endangered,2500,3
semnani,Iran (Islamic Republic of),Definitely endangered,21000,2
senaya,Iran (Islamic Republic of),Critically endangered,60,4
sene,Papua New Guinea,Critically endangered,10,4
seneca canada,Canada,Critically endangered,1000,4
seneca united states of america,United States of America,Severely endangered,100,3
sened,Tunisia,Extinct,0,5
senggi,Indonesia,Vulnerable,100,1
sengmai,India,Extinct,0,5
sengseng,Papua New Guinea,Vulnerable,400,1
sentilese,India,Critically endangered,50,4
sepa,Papua New Guinea,Vulnerable,200,1
sera,Papua New Guinea,Severely endangered,432,3
seri,Mexico,Vulnerable,518,1
serili,Indonesia,Vulnerable,328,1
serrano,United States of America,Extinct,0,5
seru,Malaysia,Extinct,0,5
seward peninsula inupiaq big diomede island,Russian Federation,Extinct,0,5
seward peninsula inupiaq king island,United States of America,Critically endangered,2144,4
seward peninsula inupiaq little diomede island,United States of America,Critically endangered,2144,4
seward peninsula inupiaq norton sound,United States of America,Critically endangered,2144,4
shabo,Ethiopia,Severely endangered,450,3
shanenawa,Brazil,Vulnerable,300,1
sharanahua,Peru,Severely endangered,450,3
shark bay,Vanuatu,Vulnerable,200,1
shatt,Sudan,Severely endangered,15000,3
shawnee,United States of America,Severely endangered,100,3
she,China,Critically endangered,1000,4
sherdukpen,India,Vulnerable,3000,1
sherpa,"China, India, Nepal",Vulnerable,143693,1
shingsaba,"China, Nepal",Vulnerable,4000,1
shipiboconibo,Peru,Definitely endangered,16085,2
shira yugur,China,Severely endangered,3000,3
shiwiar,Ecuador,Severely endangered,100,3
shixing,China,Definitely endangered,1800,2
shompen,India,Critically endangered,100,4
shor,Russian Federation,Severely endangered,6210,3
shoshoni idaho,United States of America,Severely endangered,2000,3
shoshoni nevada,United States of America,Severely endangered,2000,3
shoshoni wyoming,United States of America,Severely endangered,2000,3
shuar chicham,Ecuador,Definitely endangered,35000,2
shughni,"Tajikistan, Afghanistan",Vulnerable,95000,1
shumashti,Afghanistan,Severely endangered,1000,3
shuswap,Canada,Definitely endangered,570,2
shwai,Sudan,Critically endangered,3500,4
sia pedee,Ecuador,Critically endangered,30,4
sian,Malaysia,Severely endangered,50,3
sibe,China,Severely endangered,27000,3
siberian tatar,Russian Federation,Definitely endangered,1000,2
sicilian,Italy,Safe,5000000,0
sierra otom,Mexico,Vulnerable,43468,1
sierra popoluca,Mexico,Vulnerable,28700,1
sierra totonac,Mexico,Severely endangered,118367,3
sierra de puebla nhuatl,Mexico,Definitely endangered,57189,2
sighu,Gabon,Severely endangered,1000,3
siglitun,Canada,Severely endangered,230,3
sikuani,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,34614,1
sikiyana,Suriname,Critically endangered,1000,4
sila,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,2600,2
simi,India,Vulnerable,104000,1
singa,Uganda,Extinct,0,5
singpho,India,Definitely endangered,5000,2
sinkiang dagur,China,Definitely endangered,4000,2
siona  secoya peru,Peru,Definitely endangered,450,2
siona  secoya colombia,Colombia,Critically endangered,500,4
siona  secoya ecuador,Ecuador,Severely endangered,600,3
sioux,United States of America,Vulnerable,25000,1
sipakapense,Guatemala,Definitely endangered,5687,2
siraiya,China,Extinct,0,5
siriano brazil,Brazil,Vulnerable,71,1
siriano colombia,Colombia,Definitely endangered,1000,2
sirion,Bolivia (Plurinational State of),Severely endangered,400,3
sirmaudi,India,Critically endangered,31144,4
sishee,New Caledonia (France),Extinct,0,5
sissano,Papua New Guinea,Critically endangered,300,4
siuslaw,United States of America,Extinct,0,5
sivandi,Iran (Islamic Republic of),Definitely endangered,7000,2
siwi,Egypt,Definitely endangered,15000,2
ske,Vanuatu,Severely endangered,30,3
skolt saami,"Finland, Norway, Russian Federation",Severely endangered,300,3
slovincian,Poland,Extinct,0,5
song,Cambodia,Critically endangered,1000,4
sobei,Indonesia,Definitely endangered,1000,2
sogoo,Kenya,Extinct,1000,5
soi,Iran (Islamic Republic of),Definitely endangered,7000,2
solon,China,Definitely endangered,10000,2
somm,Papua New Guinea,Definitely endangered,80,2
somyev,"Cameroon, Nigeria",Critically endangered,20,4
sonora lower pima,Mexico,Severely endangered,159,3
sonsorol,Palau,Severely endangered,600,3
soo,Uganda,Critically endangered,100,4
soqotri,Yemen,Severely endangered,50000,3
sora,India,Vulnerable,250000,1
sorbian,Germany,Definitely endangered,19500,2
sorsorian,Vanuatu,Critically endangered,5,4
south italian,Italy,Safe,7500000,0
south jutish,"Germany, Denmark",Definitely endangered,1000,2
south saami,"Norway, Sweden",Severely endangered,500,3
south slavey,Canada,Definitely endangered,920,2
southeastern pomo,United States of America,Extinct,0,5
southeastern tarahumara,Mexico,Vulnerable,5406,1
southern altay,Russian Federation,Definitely endangered,50000,2
southern ayta,Philippines,Critically endangered,150,4
southern chocho,Mexico,Severely endangered,200,3
southern east cree,Canada,Vulnerable,4455,1
southern haida,Canada,Critically endangered,55,4
southern kamchadal,Russian Federation,Extinct,0,5
southern khanty,Russian Federation,Extinct,0,5
southern mansi,Russian Federation,Extinct,0,5
southern paiute,United States of America,Severely endangered,1000,3
southern pomo,United States of America,Critically endangered,3,4
southern selkup,Russian Federation,Critically endangered,5,4
southern sierra miwok,United States of America,Critically endangered,3,4
southern tiwa isleta pueblo,United States of America,Definitely endangered,1600,2
southern tiwa sandia pueblo,United States of America,Definitely endangered,1600,2
southern tlapanec,Mexico,Severely endangered,592,3
southern tujia,China,Severely endangered,10000,3
southern tutchone,Canada,Critically endangered,40,4
southern zoque,Mexico,Definitely endangered,312,2
southwestern tepehuan,Mexico,Vulnerable,2756,1
southwestern tlapanec,Mexico,Vulnerable,23,1
sowa,Vanuatu,Critically endangered,10,4
soyaltepec mazatec,Mexico,Vulnerable,27524,1
soyot,Russian Federation,Extinct,0,5
spiti,"India, Pakistan",Vulnerable,1000,1
spokane,United States of America,Critically endangered,2,4
squamish,Canada,Critically endangered,1000,4
stieng,Cambodia,Severely endangered,1000,3
stoney,Canada,Vulnerable,2765,1
straits salish,"Canada, United States of America",Severely endangered,180,3
suarmin,Papua New Guinea,Definitely endangered,145,2
suba,"Kenya, United Republic of Tanzania",Vulnerable,100000,1
subtiaba,Nicaragua,Extinct,0,5
sulung,"China, India",Definitely endangered,6000,2
sumariup,Papua New Guinea,Severely endangered,65,3
sunwar,Nepal,Vulnerable,26611,1
surel,Nepal,Critically endangered,25,4
suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey",Definitely endangered,240000,2
suruah,Brazil,Vulnerable,136,1
susuami,Papua New Guinea,Critically endangered,10,4
svan,Georgia,Definitely endangered,80000,2
swampy cree,Canada,Vulnerable,16685,1
swoeng,Lao People's Democratic Republic,Definitely endangered,492,2
sliba,"Colombia, Venezuela (Bolivarian Republic of)",Severely endangered,2000,3
sm,Nepal,Severely endangered,23,3
taa,Botswana,Definitely endangered,4000,2
taap,Papua New Guinea,Critically endangered,10,4
taba,Indonesia,Vulnerable,10000,1
tabasaran,Russian Federation,Vulnerable,128391,1
tabasco nhuatl,Mexico,Critically endangered,434,4
tacana,Bolivia (Plurinational State of),Definitely endangered,1000,2
tacenwit,Algeria,Vulnerable,20000,1
tafi,Ghana,Vulnerable,4400,1
tagargrent,Algeria,Severely endangered,15000,3
tagin,India,Vulnerable,30000,1
tagish,Canada,Critically endangered,1000,4
tagoi,Sudan,Severely endangered,13000,3
tahltan,Canada,Critically endangered,60,4
tai daeng,"Lao People's Democratic Republic, Viet Nam",Vulnerable,80000,1
tai neua,Lao People's Democratic Republic,Vulnerable,70000,1
tai nora,India,Critically endangered,100,4
tai phake,India,Severely endangered,2000,3
tai rong,India,Critically endangered,100,4
taiap,Papua New Guinea,Severely endangered,89,3
taikat,Indonesia,Definitely endangered,500,2
tailoi,Myanmar,Critically endangered,1000,4
taje,Indonesia,Critically endangered,350,4
tajio,Indonesia,Vulnerable,12000,1
takahanyilang,India,Critically endangered,3000,4
talodi,Sudan,Critically endangered,1500,4
taloki,Indonesia,Definitely endangered,500,2
talondo,Indonesia,Definitely endangered,400,2
talu,China,Vulnerable,10000,1
talysh,"Azerbaijan, Iran (Islamic Republic of)",Vulnerable,1000000,1
tamaceq,Mali,Definitely endangered,800000,2
tamahaq algeria,Algeria,Vulnerable,120000,1
tamahaq libya,Libyan Arab Jamahiriya,Definitely endangered,17000,2
tamajeq,Niger,Safe,1750000,0
taman,Myanmar,Extinct,0,5
tamang,"India, Nepal",Safe,1196639,0
tamazight ait rouadi,Morocco,Extinct,1637,5
tamazight arzew,Algeria,Critically endangered,2000,4
tamazight beni iznassen,Morocco,Definitely endangered,25000,2
tamazight tunisia,Tunisia,Severely endangered,10000,3
tambotalo,Vanuatu,Severely endangered,50,3
tamki,Chad,Critically endangered,500,4
tamzabit,Algeria,Vulnerable,150000,1
tanacross,United States of America,Critically endangered,50,4
tanaina,United States of America,Severely endangered,50,3
tanana,United States of America,Critically endangered,15,4
tandia,Indonesia,Extinct,0,5
tanema,Solomon Islands,Critically endangered,4,4
tangam,India,Critically endangered,100,4
tangkhul,India,Vulnerable,142000,1
tanglang,China,Vulnerable,2000,1
tangsa,India,Vulnerable,40000,1
tangwang,China,Definitely endangered,20000,2
tanimbili,Solomon Islands,Severely endangered,50,3
tanimucaletuama,Colombia,Severely endangered,1000,3
taokas,China,Extinct,0,5
taos,United States of America,Definitely endangered,800,2
tapayuna,Brazil,Severely endangered,58,3
tape,Vanuatu,Critically endangered,10,4
tapiet,"Argentina, Bolivia (Plurinational State of), Paraguay",Severely endangered,1000,3
tapirap,Brazil,Vulnerable,564,1
tarao,India,Critically endangered,870,4
tariana brazil,Brazil,Critically endangered,100,4
tariana colombia,Colombia,Critically endangered,1000,4
taroko,China,Vulnerable,4750,1
tarpia,Indonesia,Severely endangered,300,3
taruang,"China, India, Myanmar",Vulnerable,9332,1
taruma,Guyana,Critically endangered,1000,4
tasnusit,Algeria,Severely endangered,1000,3
tat,Azerbaijan,Severely endangered,1000,3
tati,Iran (Islamic Republic of),Definitely endangered,1000,2
tatuyo,Colombia,Definitely endangered,1000,2
taulil,Papua New Guinea,Vulnerable,800,1
tause,Indonesia,Vulnerable,300,1
taushiro,Peru,Critically endangered,1,4
tawahka,Honduras,Severely endangered,500,3
taworta,Indonesia,Vulnerable,140,1
tayal,China,Vulnerable,10000,1
tayurayt,Algeria,Vulnerable,15000,1
taznatit,Algeria,Severely endangered,80000,3
tazy,Russian Federation,Severely endangered,1000,3
tchitchege,Gabon,Definitely endangered,2000,2
tchumbuli,Benin,Critically endangered,1838,4
teun seram island,Indonesia,Definitely endangered,1200,2
teun teun island,Indonesia,Extinct,0,5
teanu,Solomon Islands,Definitely endangered,600,2
tecatl mazatec,Mexico,Vulnerable,1300,1
tehuelche,Argentina,Critically endangered,4,4
teko,Mexico,Severely endangered,71,3
tektitek,Guatemala,Definitely endangered,1144,2
temb,Brazil,Severely endangered,60,3
temein,Sudan,Severely endangered,10000,3
temiar,Malaysia,Definitely endangered,10000,2
tempuan,Cambodia,Severely endangered,1000,3
temuan,Malaysia,Severely endangered,8000,3
tench,Papua New Guinea,Critically endangered,49,4
tenharim,Brazil,Severely endangered,350,3
tennet,Sudan,Vulnerable,4000,1
ter saami,Russian Federation,Critically endangered,10,4
terena,Brazil,Severely endangered,19000,3
teribe costa rica,Costa Rica,Critically endangered,57,4
teribe panama,Panama,Definitely endangered,3305,2
tese,Sudan,Critically endangered,1400,4
tetete,Ecuador,Extinct,0,5
tetserret,Niger,Severely endangered,40000,3
tewa arizona,United States of America,Definitely endangered,1600,2
tewa new mexico,United States of America,Severely endangered,1600,3
texistepecan,Mexico,Severely endangered,250,3
thaayorre,Australia,Definitely endangered,300,2
thado,India,Vulnerable,191000,1
thakali,Nepal,Vulnerable,6441,1
thangmi,Nepal,Definitely endangered,33500,2
thao,China,Critically endangered,10,4
tharkarri,Australia,Critically endangered,2,4
thavung laos,"Lao People's Democratic Republic, Thailand",Definitely endangered,1000,2
thavung thailand,Thailand,Severely endangered,500,3
theen,Lao People's Democratic Republic,Severely endangered,200,3
thompson,Canada,Severely endangered,335,3
thulung,Nepal,Definitely endangered,14034,2
thuri,Sudan,Vulnerable,6600,1
tialo,Indonesia,Vulnerable,30000,1
ticuna,"Brazil, Colombia, Peru",Definitely endangered,35000,2
tidikelt,Algeria,Critically endangered,30000,4
tilapa otom,Mexico,Severely endangered,292,3
tillamook,United States of America,Extinct,0,5
tilung,Nepal,Definitely endangered,310,2
tima,Sudan,Severely endangered,3305,3
tinan,"China, India",Definitely endangered,2000,2
tindi,Russian Federation,Definitely endangered,6000,2
tingal,Sudan,Definitely endangered,8000,2
tinigua,Colombia,Critically endangered,1,4
tipai mexico,Mexico,Severely endangered,184,3
tipai united states of america,United States of America,Severely endangered,40,3
tirahi,Afghanistan,Critically endangered,100,4
tiri,New Caledonia (France),Definitely endangered,221,2
tirma,Sudan,Critically endangered,1000,4
tiwa,India,Definitely endangered,23000,2
tiwi,Australia,Vulnerable,2100,1
tlachichilco tepehua,Mexico,Definitely endangered,2234,2
tlahuica,Mexico,Severely endangered,405,3
tlingit canada,Canada,Critically endangered,55,4
tlingit united states of america,United States of America,Critically endangered,300,4
toba,Argentina,Definitely endangered,30000,2
tobamaskoy,Paraguay,Severely endangered,1000,3
tobada,Indonesia,Extinct,12000,5
tobati,Indonesia,Severely endangered,80,3
tobian,Palau,Critically endangered,22,4
tocho,Sudan,Severely endangered,3800,3
toda,India,Critically endangered,1006,4
tofa,Russian Federation,Critically endangered,40,4
tofanma,Indonesia,Vulnerable,90,1
togoyo,Sudan,Extinct,0,5
tokelauan,Tokelau,Severely endangered,4500,3
tol,Honduras,Critically endangered,300,4
tolcha,India,Extinct,1000,5
tolomako,Vanuatu,Definitely endangered,450,2
tolowa,United States of America,Critically endangered,1,4
tomadino,Indonesia,Definitely endangered,500,2
tombelala,Indonesia,Vulnerable,1000,1
tonjon,Côte d'Ivoire,Extinct,0,5
toram,Chad,Severely endangered,8456,3
toratn,Indonesia,Definitely endangered,500,2
torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",Safe,1500000,0
torwali,Pakistan,Definitely endangered,60000,2
tor,Brazil,Extinct,0,5
toto,India,Critically endangered,1000,4
totoli,Indonesia,Vulnerable,15000,1
totor,Colombia,Critically endangered,4,4
touggourt tamazight,Algeria,Severely endangered,1000,3
transylvanian saxon,Romania,Severely endangered,50000,3
trio brazil,Brazil,Vulnerable,1156,1
trio suriname,Suriname,Vulnerable,1000,1
triw,Lao People's Democratic Republic,Definitely endangered,1328,2
trukhmen,"Russian Federation, Turkmenistan",Definitely endangered,10000,2
trumai,Brazil,Critically endangered,51,4
tsamay,Ethiopia,Definitely endangered,8621,2
tsixa,Botswana,Definitely endangered,390,2
tsafiki,Ecuador,Definitely endangered,2000,2
tsakhur,"Azerbaijan, Russian Federation",Definitely endangered,25000,2
tsakonian,Greece,Critically endangered,300,4
tsetsaut,Canada,Extinct,0,5
tsez,Russian Federation,Definitely endangered,15356,2
tshangla,"Bhutan, China, India",Vulnerable,193000,1
tsimshian,Canada,Critically endangered,160,4
tsou,China,Vulnerable,1200,1
tsum,Nepal,Definitely endangered,4786,2
tuahka,Nicaragua,Severely endangered,300,3
tuamotuan,French Polynesia (France),Definitely endangered,14400,2
tubatulabal,United States of America,Critically endangered,3,4
tucano brazil,Brazil,Vulnerable,7000,1
tucano colombia,Colombia,Vulnerable,1000,1
tulekaweah yokuts,United States of America,Critically endangered,10,4
tulishi,Sudan,Severely endangered,8628,3
tulu,India,Safe,1722768,0
tum,Lao People's Democratic Republic,Definitely endangered,1000,2
tumtum,Sudan,Severely endangered,6500,3
tundra enets,Russian Federation,Critically endangered,10,4
tundra nenets,Russian Federation,Definitely endangered,30000,2
tundra yukagir,Russian Federation,Critically endangered,150,4
tunebo,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,7231,2
tunica,United States of America,Extinct,0,5
tunisian judeoarabic israel,Israel,Severely endangered,1000,3
tunisian judeoarabic tunisia,Tunisia,Critically endangered,500,4
tuotomb,Cameroon,Severely endangered,1000,3
tupari,Brazil,Definitely endangered,150,2
turaka,Papua New Guinea,Critically endangered,35,4
turi,India,Definitely endangered,5000,2
turoyo,"Syrian Arab Republic, Turkey",Severely endangered,50000,3
tuscarora canada,Canada,Critically endangered,1000,4
tuscarora united states of america,United States of America,Critically endangered,3,4
tutuba,Vanuatu,Definitely endangered,120,2
tututni,United States of America,Extinct,0,5
tuvaluan,Tuvalu,Definitely endangered,11000,2
tuvan,"China, Mongolia, Russian Federation",Vulnerable,242754,1
tuwuli,Ghana,Vulnerable,11400,1
tuyuca brazil,Brazil,Vulnerable,800,1
tuyuca colombia,Colombia,Definitely endangered,1000,2
tuzantec,Mexico,Critically endangered,5,4
twana,United States of America,Extinct,0,5
tzutujil,Guatemala,Definitely endangered,63237,2
titschu,Italy,Severely endangered,200,3
u,China,Definitely endangered,3000,2
ubi,Chad,Severely endangered,1100,3
ubykh caucasus,Russian Federation,Extinct,0,5
ubykh turkey,Turkey,Extinct,0,5
udege,Russian Federation,Critically endangered,40,4
udi azerbaijan,Azerbaijan,Severely endangered,5000,3
udi georgia,Georgia,Severely endangered,1000,3
udmurt,Russian Federation,Definitely endangered,463837,2
uhunduni,Indonesia,Vulnerable,14000,1
ujir,Indonesia,Definitely endangered,1200,2
ukhwejo,Central African Republic,Severely endangered,2000,3
ulcha,Russian Federation,Critically endangered,732,4
ulithian,Micronesia (Federated States of),Severely endangered,3000,3
ulwa,Nicaragua,Severely endangered,500,3
umbrul,Vanuatu,Critically endangered,5,4
ume saami,Sweden,Critically endangered,20,4
umpila,Australia,Severely endangered,12,3
umutina,Brazil,Extinct,0,5
unami,United States of America,Extinct,1000,5
upland yuman,United States of America,Vulnerable,1650,1
upper chehalis,United States of America,Extinct,0,5
upper kuskokwim,United States of America,Critically endangered,25,4
upper tanana canada,Canada,Critically endangered,1000,4
upper tanana united states of america,United States of America,Critically endangered,55,4
upper umpqua,United States of America,Extinct,0,5
ura,Vanuatu,Critically endangered,3,4
urak lawoi malaysia,Malaysia,Definitely endangered,2500,2
urak lawoi thailand,Thailand,Definitely endangered,2500,2
urarina,Peru,Vulnerable,2000,1
uru,Bolivia (Plurinational State of),Extinct,1,5
urueuauau,Brazil,Vulnerable,183,1
uruak,Venezuela (Bolivarian Republic of),Critically endangered,19,4
uruava,Papua New Guinea,Extinct,0,5
urum,"Georgia, Russian Federation, Ukraine",Definitely endangered,1000,2
urup,Brazil,Extinct,0,5
ushojo,Pakistan,Definitely endangered,2000,2
usku,Indonesia,Critically endangered,20,4
uspantek,Guatemala,Vulnerable,3971,1
usu,Papua New Guinea,Severely endangered,93,3
ute colorado southern ute,United States of America,Severely endangered,100,3
ute colorado ute mountain,United States of America,Severely endangered,500,3
ute utah,United States of America,Severely endangered,300,3
utsat,China,Definitely endangered,3700,2
vacacocha,Peru,Critically endangered,2,4
vafsi,Iran (Islamic Republic of),Definitely endangered,18000,2
valle nacional chinantec,Mexico,Definitely endangered,442,2
valley yokuts,United States of America,Severely endangered,30,3
vano,Solomon Islands,Critically endangered,5,4
vedda,Sri Lanka,Definitely endangered,300,2
vehes,Papua New Guinea,Severely endangered,100,3
venetan,"Croatia, Italy, Slovenia",Safe,2000000,0
ventureo,United States of America,Extinct,0,5
veps,Russian Federation,Severely endangered,5753,3
veraa,Vanuatu,Definitely endangered,300,2
vidunda,United Republic of Tanzania,Vulnerable,10000,1
vilamovian,Poland,Severely endangered,70,3
vilela,Argentina,Extinct,0,5
vohkon dialects,New Caledonia (France),Definitely endangered,878,2
vojvodina rusyn,"Croatia, Serbia",Definitely endangered,30000,2
volow,Vanuatu,Critically endangered,1,4
vote,Russian Federation,Critically endangered,20,4
vumbu,Gabon,Definitely endangered,2460,2
vroseto,"Estonia, Russian Federation",Definitely endangered,50000,2
wa,Myanmar,Severely endangered,1000,3
waanyi,Australia,Critically endangered,4,4
wab,Papua New Guinea,Vulnerable,142,1
wagiman,Australia,Severely endangered,11,3
waigali,Afghanistan,Definitely endangered,2000,2
waimaa,Timor-Leste,Definitely endangered,3000,2
waimiratroar,Brazil,Vulnerable,1120,1
waiwai brazil,Brazil,Vulnerable,2916,1
waiwai guyana,Guyana,Vulnerable,240,1
waiwai suriname,Suriname,Critically endangered,750,4
wajarri,Australia,Severely endangered,20,3
wajpi,Brazil,Vulnerable,905,1
