Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level
Mokilese,Micronesia (Federated States of),critically endangered,1050,4
Western Náhuatl,Mexico,severely endangered,1041,3
Acatepec Mazatec,Mexico,vulnerable,1038,1
Mixtec of Villa de Tututepec,Mexico,definitely endangered,1019,2
Toda,India,critically endangered,1006,4
Adabe,Timor-Leste,vulnerable,1000,1
Alutor,Russian Federation,severely endangered,1000,3
Arapaho,United States of America,severely endangered,1000,3
Beeke,Democratic Republic of the Congo,severely endangered,1000,3
Blackfoot,United States of America,definitely endangered,1000,2
Bohtan Neo-Aramaic,"Georgia, Russian Federation",severely endangered,1000,3
Bola,China,definitely endangered,1000,2
Bong'om,Kenya,definitely endangered,1000,2
Bora,"Colombia, Peru",vulnerable,1000,1
Central Siberian Yupik,United States of America,definitely endangered,1000,2
Chali,Bhutan,definitely endangered,1000,2
Cherokee,United States of America,severely endangered,1000,3
Cocama-Cocamilla,Peru,severely endangered,1000,3
Dair,Sudan,severely endangered,1000,3
Dakpa,"Bhutan, India",definitely endangered,1000,2
Dampelas,Indonesia,definitely endangered,1000,2
Danaw,Myanmar,critically endangered,1000,4
Ega,Côte d'Ivoire,severely endangered,1000,3
El Hugeirat,Sudan,severely endangered,1000,3
Faghani,Solomon Islands,vulnerable,1000,1
Fongoro,Chad,severely endangered,1000,3
Gambiri,Afghanistan,severely endangered,1000,3
Gongduk,Bhutan,vulnerable,1000,1
Gorap,Indonesia,definitely endangered,1000,2
Guugu Yimidhirr,Australia,vulnerable,1000,1
Gyem,Nigeria,critically endangered,1000,4
Habu,Timor-Leste,vulnerable,1000,1
Hawaiian,United States of America,critically endangered,1000,4
Hértevin,Turkey,critically endangered,1000,4
Hu,China,definitely endangered,1000,2
Hualapai,United States of America,vulnerable,1000,1
Hung,"Lao People's Democratic Republic, Viet Nam",definitely endangered,1000,2
Inkhokvari,Russian Federation,definitely endangered,1000,2
Ishkashimi,Tajikistan,severely endangered,1000,3
Iyive,Cameroon,severely endangered,1000,3
Jiongnai Bunu,China,definitely endangered,1000,2
Kaande,Gabon,severely endangered,1000,3
Kaco',Cambodia,definitely endangered,1000,2
Kadu,Myanmar,severely endangered,1000,3
Kairui-Midiki,Timor-Leste,vulnerable,1000,1
Kari,Democratic Republic of the Congo,severely endangered,1000,3
Kayabi,Brazil,vulnerable,1000,1
Khowa,India,definitely endangered,1000,2
Kodeoha,Indonesia,vulnerable,1000,1
Kujarge,Chad,definitely endangered,1000,2
Kukatja,Australia,vulnerable,1000,1
Kuot,Papua New Guinea,vulnerable,1000,1
Lokono,"French Guiana (France), Suriname",severely endangered,1000,3
Mahongwe,Gabon,severely endangered,1000,3
Manchurian Ölöt,China,severely endangered,1000,3
May,"Lao People's Democratic Republic, Viet Nam",definitely endangered,1000,2
Mbara,Chad,severely endangered,1000,3
Mech,India,severely endangered,1000,3
Mòcheno,Italy,definitely endangered,1000,2
Naueti,Timor-Leste,vulnerable,1000,1
North Greenlandic,Greenland (Kingdom of Denmark),definitely endangered,1000,2
Ormuri,"Pakistan, Afghanistan",definitely endangered,1000,2
Paiter,Brazil,vulnerable,1000,1
Pareci,Brazil,definitely endangered,1000,2
Pasi,India,definitely endangered,1000,2
Resian,Italy,definitely endangered,1000,2
Sach,"Lao People's Democratic Republic, Viet Nam",definitely endangered,1000,2
Sake,Gabon,severely endangered,1000,3
Saterlandic,Germany,severely endangered,1000,3
She,China,critically endangered,1000,4
Shumashti,Afghanistan,severely endangered,1000,3
Sighu,Gabon,severely endangered,1000,3
Sobei,Indonesia,definitely endangered,1000,2
Thavung,"Lao People's Democratic Republic, Thailand",definitely endangered,1000,2
Tirma,Sudan,critically endangered,1000,4
Tombelala,Indonesia,vulnerable,1000,1
Toto,India,critically endangered,1000,4
Trio,Suriname,vulnerable,1000,1
Tum,Lao People's Democratic Republic,definitely endangered,1000,2
Tuotomb,Cameroon,severely endangered,1000,3
Yatê,Brazil,severely endangered,1000,3
Zaiwa,"China, India",definitely endangered,1000,2
Zay,Ethiopia,severely endangered,1000,3
Zenaga,Western Sahara,critically endangered,1000,4
|Gui,Botswana,vulnerable,1000,1
ǁAni,Botswana,definitely endangered,1000,2
Buglé,Panama,definitely endangered,993,2
Ka'apór,Brazil,vulnerable,991,1
Hadza,United Republic of Tanzania,vulnerable,975,1
Kunwinjku,Australia,vulnerable,974,1
Bakairi,Brazil,vulnerable,950,1
Drubea,New Caledonia (France),vulnerable,946,1
Namonuito,Micronesia (Federated States of),severely endangered,944,3
Hya,"Cameroon, Nigeria",severely endangered,940,3
Machineri,Brazil,vulnerable,937,1
South Slavey,Canada,definitely endangered,920,2
Wajãpi,Brazil,vulnerable,905,1
Mewahang,Nepal,severely endangered,904,3
Awapit,Ecuador,severely endangered,900,3
Chimila,Colombia,severely endangered,900,3
Kua,Botswana,definitely endangered,900,2
Njalgulgule,Sudan,severely endangered,900,3
Pech,Honduras,severely endangered,900,3
Rikbaktsa,Brazil,severely endangered,900,3
Caac,New Caledonia (France),vulnerable,890,1
Inuinnaqtun,Canada,definitely endangered,890,2
Voh-Koné dialects,New Caledonia (France),definitely endangered,878,2
Kuna,Colombia,severely endangered,876,3
Dení,Brazil,vulnerable,875,1
Tarao,India,critically endangered,870,4
Santa María del Mar Huave,Mexico,severely endangered,862,3
Nukuoro,Micronesia (Federated States of),definitely endangered,860,2
Mixtec of Santa Cruz Itundujia,Mexico,definitely endangered,851,2
"Zapotec of the Southern mountains, northeast",Mexico,definitely endangered,849,2
Kumak,New Caledonia (France),vulnerable,847,1
Pukapukan,Cook Islands,definitely endangered,840,2
Lola,Indonesia,vulnerable,830,1
Ashaninka,Brazil,vulnerable,813,1
Ottawa,"Canada, United States of America",severely endangered,810,3
Bati,Cameroon,severely endangered,800,3
Chorote Iyojwa'ja,"Argentina, Paraguay",severely endangered,800,3
Eman,Cameroon,severely endangered,800,3
Isu,Cameroon,severely endangered,800,3
Jamamadí,Brazil,vulnerable,800,1
Javaé,Brazil,definitely endangered,800,2
Nubaca,Cameroon,severely endangered,800,3
Panasuan,Indonesia,definitely endangered,800,2
Piaroa,Colombia,definitely endangered,800,2
Taos,United States of America,definitely endangered,800,2
Taulil,Papua New Guinea,vulnerable,800,1
Tuyuca,Brazil,vulnerable,800,1
Kaike,Nepal,definitely endangered,794,2
Kildin Saami,Russian Federation,severely endangered,787,3
Ese eja,"Bolivia (Plurinational State of), Peru",definitely endangered,782,2
Central Cagayan Agta,Philippines,vulnerable,779,1
Mixtec of Santa Inés de Zaragoza,Mexico,definitely endangered,775,2
Ocopetatillo Mazatec,Mexico,vulnerable,757,1
Jaqaru,Peru,severely endangered,750,3
Waiwai,Suriname,critically endangered,750,4
Laal,Chad,critically endangered,749,4
Ulcha,Russian Federation,critically endangered,732,4
Jawe,New Caledonia (France),vulnerable,729,1
Maslam,"Cameroon, Chad",severely endangered,723,3
Nambiquara do Sul,Brazil,vulnerable,721,1
North Slavey,Canada,definitely endangered,720,2
Gitksan,Canada,severely endangered,710,3
A'ingae / Cofan,Ecuador,definitely endangered,700,2
Animere,Ghana,critically endangered,700,4
Batek,Malaysia,critically endangered,700,4
Enggano,Indonesia,vulnerable,700,1
Indri,Sudan,severely endangered,700,3
Kalaw Lagaw Ya,Australia,definitely endangered,700,2
Lakon,Vanuatu,vulnerable,700,1
Mok,China,definitely endangered,700,2
Ngaanyatjarra,Australia,vulnerable,700,1
Ngatikese Men's Creole,Micronesia (Federated States of),definitely endangered,700,2
Piratapuya,Brazil,severely endangered,700,3
Mountain Guarijío,Mexico,vulnerable,696,1
Nivkh,Russian Federation,severely endangered,688,3
Krikati,Brazil,vulnerable,682,1
Dakota,Canada,definitely endangered,675,2
Carrier,Canada,severely endangered,660,3
Matlatzinca,Mexico,definitely endangered,651,2
Kasanga,Guinea-Bissau,critically endangered,650,4
Wanano / Kotiria,Brazil,vulnerable,650,1
Central Popoloc,Mexico,severely endangered,641,3
Eastern Ojibwe,Canada,severely endangered,620,3
River Guarijío,Mexico,vulnerable,617,1
Yuhup,Brazil,vulnerable,617,1
Ocoyoacac Otomí,Mexico,severely endangered,609,3
Akum,"Cameroon, Nigeria",critically endangered,600,4
Blablanga,Solomon Islands,definitely endangered,600,2
Bubia,Cameroon,severely endangered,600,3
Chickasaw,United States of America,severely endangered,600,3
Desano,Brazil,definitely endangered,600,2
Faetar,Italy,definitely endangered,600,2
Hixkaryána,Brazil,vulnerable,600,1
Hoava,Solomon Islands,vulnerable,600,1
Hodi,Venezuela (Bolivarian Republic of),vulnerable,600,1
Iñapari,Peru,critically endangered,600,4
Koke,Chad,severely endangered,600,3
Kowiai,Indonesia,vulnerable,600,1
Kuikuro,Brazil,vulnerable,600,1
Laiyolo,Indonesia,definitely endangered,600,2
Mo'da,Sudan,critically endangered,600,4
Northern Selkup,Russian Federation,severely endangered,600,3
Penrhyn,Cook Islands,severely endangered,600,3
Pintupi,Australia,vulnerable,600,1
Piratapuya,Colombia,critically endangered,600,4
Siona / Secoya,Ecuador,severely endangered,600,3
Sonsorol,Palau,severely endangered,600,3
Teanu,Solomon Islands,definitely endangered,600,2
Yaminahua,Brazil,vulnerable,600,1
Andoke,Colombia,severely endangered,597,3
Southern Tlapanec,Mexico,severely endangered,592,3
Orowe,New Caledonia (France),definitely endangered,587,2
Mosetén,Bolivia (Plurinational State of),severely endangered,585,3
Chatong,Lao People's Democratic Republic,definitely endangered,580,2
Norfolk-Pitcairn,Norfolk Island (Australia),definitely endangered,580,2
Nunatsiavummiutut,Canada,definitely endangered,575,2
Shuswap,Canada,definitely endangered,570,2
Xaragure,New Caledonia (France),vulnerable,566,1
Tapirapé,Brazil,vulnerable,564,1
Lacandón,Mexico,critically endangered,563,4
Zapotec of Zimatlán de Álvarez,Mexico,definitely endangered,562,2
Chilcotin,Canada,definitely endangered,560,2
Chácobo,Bolivia (Plurinational State of),definitely endangered,550,2
Gao,Solomon Islands,vulnerable,550,1
Geme,Central African Republic,critically endangered,550,4
Karore,Papua New Guinea,vulnerable,550,1
Yuhup,Colombia,definitely endangered,550,2
Western Tlapanec,Mexico,vulnerable,549,1
Hinukh,Russian Federation,definitely endangered,548,2
Anuki,Papua New Guinea,definitely endangered,542,2
Imeraguen,Mauritania,definitely endangered,534,2
Narpa,Nepal,definitely endangered,533,2
Akatek,Mexico,vulnerable,532,1
Naskapi,Canada,vulnerable,525,1
Archi,Russian Federation,definitely endangered,524,2
Yawanawá,Brazil,vulnerable,519,1
Raute,Nepal,severely endangered,518,3
Seri,Mexico,vulnerable,518,1
Western Popoloc,Mexico,severely endangered,516,3
Yaqui,United States of America,definitely endangered,510,2
Kalapalo,Brazil,vulnerable,506,1
Nganasan,Russian Federation,severely endangered,505,3
Jakaltek,Mexico,severely endangered,504,3
Zapotec of San Antonino el Alto,Mexico,definitely endangered,504,2
Purum,India,critically endangered,503,4
Aheu,Lao People's Democratic Republic,definitely endangered,500,2
Amahuaca,Peru,severely endangered,500,3
Anfillo,Ethiopia,critically endangered,500,4
Arbanasi,Croatia,severely endangered,500,3
Baniva,Venezuela (Bolivarian Republic of),severely endangered,500,3
Bataan Ayta,Philippines,definitely endangered,500,2
Bats,Georgia,severely endangered,500,3
Black Mountain,Bhutan,definitely endangered,500,2
Busoa,Indonesia,vulnerable,500,1
Chong,"Cambodia, Thailand",severely endangered,500,3
Domaaki,Pakistan,severely endangered,500,3
Ganan,Myanmar,severely endangered,500,3
Havasupai,United States of America,definitely endangered,500,2
Kensiw,Thailand,severely endangered,500,3
Khmin,China,vulnerable,500,1
Khvarshi,Russian Federation,definitely endangered,500,2
Kundal Shahi,"India, Pakistan",definitely endangered,500,2
Laghuu,Viet Nam,definitely endangered,500,2
Laha,Viet Nam,definitely endangered,500,2
Laha,Viet Nam,definitely endangered,500,2
Langa,Cameroon,severely endangered,500,3
Laxudumau,Papua New Guinea,vulnerable,500,1
Majera,Cameroon,critically endangered,500,4
Maliseet-Passamaquoddy,United States of America,severely endangered,500,3
Mikasuki,United States of America,vulnerable,500,1
Mlomp,Senegal,critically endangered,500,4
Onin,Indonesia,vulnerable,500,1
Ormu,Indonesia,vulnerable,500,1
Palikur,French Guiana (France),severely endangered,500,3
Pemon,Brazil,vulnerable,500,1
Quechua of Chachapoyas,Peru,critically endangered,500,4
Samatu,China,critically endangered,500,4
Seke,Nepal,vulnerable,500,1
Siona / Secoya,Colombia,critically endangered,500,4
South Saami,"Norway, Sweden",severely endangered,500,3
Taikat,Indonesia,definitely endangered,500,2
Taloki,Indonesia,definitely endangered,500,2
Tamki,Chad,critically endangered,500,4
Tawahka,Honduras,severely endangered,500,3
Thavung,Thailand,severely endangered,500,3
Tomadino,Indonesia,definitely endangered,500,2
Toratán,Indonesia,definitely endangered,500,2
Tunisian Judeo-Arabic,Tunisia,critically endangered,500,4
Ulwa,Nicaragua,severely endangered,500,3
Ute,United States of America,severely endangered,500,3
Walmajarri,Australia,definitely endangered,500,2
Warekena,Venezuela (Bolivarian Republic of),severely endangered,500,3
Boguru,"Democratic Republic of the Congo, Sudan",critically endangered,494,4
Pukobyê,Brazil,vulnerable,494,1
Swoeng,Lao People's Democratic Republic,definitely endangered,492,2
Wali,Sudan,critically endangered,487,4
Gavião do Pará,Brazil,vulnerable,476,1
Malecite,"Canada, United States of America",definitely endangered,475,2
Ninam,Brazil,vulnerable,466,1
Zoró,Brazil,vulnerable,464,1
Sanema,Brazil,vulnerable,462,1
Ixtenco Otomí,Mexico,severely endangered,461,3
Ottawa,United States of America,critically endangered,459,4
Kanela Apaniekra,Brazil,vulnerable,458,1
Satawal,Micronesia (Federated States of),severely endangered,458,3
Chatino of Zacatepec,Mexico,definitely endangered,453,2
Demisa,Indonesia,definitely endangered,450,2
Koasati,United States of America,definitely endangered,450,2
Koasati,United States of America,definitely endangered,450,2
Nanti,Peru,vulnerable,450,1
Shabo,Ethiopia,severely endangered,450,3
Sharanahua,Peru,severely endangered,450,3
Siona  Secoya,Peru,definitely endangered,450,2
Tolomako,Vanuatu,definitely endangered,450,2
Enawenê-Nawê,Brazil,vulnerable,445,1
Valle Nacional Chinantec,Mexico,definitely endangered,442,2
Gavião de Rondônia,Brazil,vulnerable,436,1
Tabasco Náhuatl,Mexico,critically endangered,434,4
Sera,Papua New Guinea,severely endangered,432,3
Yecuana,Brazil,vulnerable,430,1
Alabugat Tatar,Russian Federation,definitely endangered,422,2
"Zapotec of the Southern mountains, eastern lowlands",Mexico,definitely endangered,420,2
Western Otomí,Mexico,severely endangered,415,3
Moose Cree,Canada,vulnerable,405,1
Tlahuica,Mexico,severely endangered,405,3
Katukina do Acre,Brazil,severely endangered,404,3
Abai Sungai,Malaysia,definitely endangered,400,2
Barasana,Colombia,critically endangered,400,4
Beezen,Cameroon,severely endangered,400,3
Buga,Sudan,critically endangered,400,4
Cheyenne,United States of America,severely endangered,400,3
Cimbrian,Italy,definitely endangered,400,2
Cobiana,"Guinea-Bissau, Senegal",critically endangered,400,4
Dagur,China,critically endangered,400,4
Dahalo,Kenya,severely endangered,400,3
Émérillon,French Guiana (France),severely endangered,400,3
Gagauz,"Bulgaria, Romania",severely endangered,400,3
Hijuk,Cameroon,critically endangered,400,4
Hobyot,"Oman, Yemen",severely endangered,400,3
Inari Saami,Finland,severely endangered,400,3
Istriot,Croatia,severely endangered,400,3
Kalao,Indonesia,definitely endangered,400,2
Kamaiurá,Brazil,vulnerable,400,1
Kickapoo,United States of America,severely endangered,400,3
Kickapoo,United States of America,severely endangered,400,3
Kickapoo,United States of America,severely endangered,400,3
Kiowa,United States of America,severely endangered,400,3
Koroni,Indonesia,definitely endangered,400,2
Lamongse,India,critically endangered,400,4
Ndunda,Nigeria,severely endangered,400,3
Northern Paiute,United States of America,definitely endangered,400,2
Pupeo,China,definitely endangered,400,2
Rapa,French Polynesia (France),severely endangered,400,3
Red Gelao,China,critically endangered,400,4
Sengseng,Papua New Guinea,vulnerable,400,1
Sirionó,Bolivia (Plurinational State of),severely endangered,400,3
Talondo,Indonesia,definitely endangered,400,2
Yaminahua,"Bolivia (Plurinational State of), Peru",severely endangered,400,3
Mixtec of Zapotitlán,Mexico,severely endangered,396,3
Sanema,Venezuela (Bolivarian Republic of),vulnerable,393,1
Ts'ixa,Botswana,definitely endangered,390,2
Pirahã,Brazil,vulnerable,389,1
Mixtec of San Pedro Tidaá,Mexico,severely endangered,384,3
Yerong,China,severely endangered,380,3
A'ingae / Cofan,Colombia,severely endangered,379,3
Halkomelem,"Canada, United States of America",severely endangered,375,3
Yudja,Brazil,vulnerable,362,1
Kisêdjê,Brazil,vulnerable,351,1
Auye,Indonesia,vulnerable,350,1
Awyi,Indonesia,vulnerable,350,1
Bierebo,Vanuatu,vulnerable,350,1
Fayu,Indonesia,vulnerable,350,1
Labo,Vanuatu,vulnerable,350,1
Mra,"China, India",critically endangered,350,4
Myky,Brazil,vulnerable,350,1
Na,"China, India",critically endangered,350,4
Nadëb,Brazil,definitely endangered,350,2
Taje,Indonesia,critically endangered,350,4
Tenharim,Brazil,severely endangered,350,3
Mako,Venezuela (Bolivarian Republic of),critically endangered,345,4
Barām,Nepal,critically endangered,342,4
Ikpeng,Brazil,vulnerable,342,1
Gardiol,Italy,severely endangered,340,3
Araweté,Brazil,vulnerable,339,1
Northern Pame,Mexico,definitely endangered,337,2
Thompson,Canada,severely endangered,335,3
Serili,Indonesia,vulnerable,328,1
Kaningara,Papua New Guinea,vulnerable,327,1
Misantla Totonac,Mexico,critically endangered,325,4
Nemi,New Caledonia (France),definitely endangered,325,2
Nambiquara do Norte,Brazil,vulnerable,323,1
Matís,Brazil,vulnerable,322,1
Wauja,Brazil,vulnerable,321,1
Benggoi,Indonesia,definitely endangered,320,2
Karitiana,Brazil,vulnerable,320,1
Apalai,Brazil,vulnerable,317,1
Kwak'wala,"Canada, United States of America",critically endangered,315,4
Southern Zoque,Mexico,definitely endangered,312,2
Tilung,Nepal,definitely endangered,310,2
Opuuo,Ethiopia,critically endangered,307,4
Panará,Brazil,vulnerable,306,1
Aka,India,critically endangered,300,4
Bakole,Cameroon,critically endangered,300,4
Bathari,Oman,critically endangered,300,4
Brokkat,Bhutan,definitely endangered,300,2
Duwet,Papua New Guinea,vulnerable,300,1
Faire Atta,Philippines,severely endangered,300,3
Green Gelao,China,critically endangered,300,4
Green Gelao,Viet Nam,critically endangered,300,4
Guatuso,Costa Rica,severely endangered,300,3
Gupapuyngu,Australia,vulnerable,300,1
Istro-Romanian,Croatia,severely endangered,300,3
Jicarilla Apache,United States of America,severely endangered,300,3
Kandas,Papua New Guinea,vulnerable,300,1
Kangjia,China,severely endangered,300,3
Kaxarari,Brazil,critically endangered,300,4
Kwansu,Indonesia,vulnerable,300,1
Legenyem,Indonesia,vulnerable,300,1
Mandaic,"Iran (Islamic Republic of), Iraq",critically endangered,300,4
Mangareva,French Polynesia (France),severely endangered,300,3
Mani,"Guinea, Sierra Leone",critically endangered,300,4
Maniq,Thailand,definitely endangered,300,2
Mono,Cameroon,critically endangered,300,4
Northern Paiute,United States of America,critically endangered,300,4
Phong,Lao People's Democratic Republic,definitely endangered,300,2
Shanenawa,Brazil,vulnerable,300,1
Sissano,Papua New Guinea,critically endangered,300,4
Skolt Saami,"Finland, Norway, Russian Federation",severely endangered,300,3
Tarpia,Indonesia,severely endangered,300,3
Tause,Indonesia,vulnerable,300,1
Thaayorre,Australia,definitely endangered,300,2
Tlingit,United States of America,critically endangered,300,4
Tol,Honduras,critically endangered,300,4
Tsakonian,Greece,critically endangered,300,4
Tuahka,Nicaragua,severely endangered,300,3
Ute,United States of America,severely endangered,300,3
Vedda,Sri Lanka,definitely endangered,300,2
Vera'a,Vanuatu,definitely endangered,300,2
Warapu,Papua New Guinea,severely endangered,300,3
Waru,Indonesia,definitely endangered,300,2
Yawarana,Venezuela (Bolivarian Republic of),severely endangered,300,3
Yimas,Papua New Guinea,severely endangered,300,3
Tilapa Otomí,Mexico,severely endangered,292,3
Paumarí,Brazil,severely endangered,290,3
Wayana,Brazil,vulnerable,288,1
Achagua,Colombia,severely endangered,283,3
Guajá,Brazil,vulnerable,283,1
Maniwaki Algonquin,Canada,severely endangered,280,3
Alabama,United States of America,definitely endangered,275,2
Cocopa,United States of America,severely endangered,275,3
Miltu,Chad,critically endangered,272,4
Arara do Pará,Brazil,vulnerable,271,1
Kaki Ae,Papua New Guinea,vulnerable,266,1
Nisga'a,Canada,severely endangered,265,3
"Zapotec of the Valleys, central",Mexico,severely endangered,257,3
Bosilewa,Papua New Guinea,vulnerable,250,1
Caquinte Campa,Peru,definitely endangered,250,2
Gwich'in,Canada,severely endangered,250,3
Kaibobo,Indonesia,definitely endangered,250,2
Kaiep,Papua New Guinea,vulnerable,250,1
Kaiy,Indonesia,vulnerable,250,1
Laji,China,critically endangered,250,4
Lehali,Vanuatu,vulnerable,250,1
Lillooet,Canada,severely endangered,250,3
Löyöp,Vanuatu,vulnerable,250,1
Nyangumarta,Australia,vulnerable,250,1
Pear,Cambodia,severely endangered,250,3
Ruc,"Lao People's Democratic Republic, Viet Nam",definitely endangered,250,2
Sause,Indonesia,severely endangered,250,3
Texistepecan,Mexico,severely endangered,250,3
Winnebago,United States of America,severely endangered,250,3
Winnebago,United States of America,severely endangered,250,3
Zapotec of San Bartolo Yautepec,Mexico,severely endangered,246,3
Mixtec of San Miguel Piedras,Mexico,severely endangered,243,3
North Alaskan Inupiaq,Canada,severely endangered,240,3
Waiwai,Guyana,vulnerable,240,1
As,Indonesia,vulnerable,230,1
Siglitun,Canada,severely endangered,230,3
K'iche',Mexico,definitely endangered,226,2
Paipai,Mexico,severely endangered,226,3
Garuwahi,Papua New Guinea,definitely endangered,225,2
Picuris,United States of America,vulnerable,225,1
Neku,New Caledonia (France),severely endangered,221,3
Tiri,New Caledonia (France),definitely endangered,221,2
Danisi,Botswana,critically endangered,220,4
Emplawas,Indonesia,definitely endangered,220,2
Mixtec of the northeast lowlands,Mexico,severely endangered,220,3
Musom,Papua New Guinea,definitely endangered,219,2
Pwaamèi,New Caledonia (France),definitely endangered,219,2
"Zapotec of the Valleys, west",Mexico,definitely endangered,211,2
Karo,Brazil,vulnerable,208,1
Cocopa,Mexico,definitely endangered,206,2
Korúbo,Brazil,vulnerable,205,1
Aja,Sudan,critically endangered,200,4
Antakirinya,Australia,definitely endangered,200,2
Bana,Lao People's Democratic Republic,severely endangered,200,3
Baras,Indonesia,severely endangered,200,3
Batak,Philippines,definitely endangered,200,2
Birri,Central African Republic,critically endangered,200,4
Bonggo,Indonesia,severely endangered,200,3
Central Siberian Yupik,Russian Federation,severely endangered,200,3
Chawte,Myanmar,definitely endangered,200,2
Che Wong,Malaysia,definitely endangered,200,2
Defaka,Nigeria,critically endangered,200,4
Doga,Papua New Guinea,definitely endangered,200,2
Dorig,Vanuatu,definitely endangered,200,2
Dukha,Mongolia,severely endangered,200,3
Emae,Vanuatu,vulnerable,200,1
Erokwanas,Indonesia,vulnerable,200,1
Gowro,Pakistan,severely endangered,200,3
Hayu,Nepal,critically endangered,200,4
Hidatsa,United States of America,definitely endangered,200,2
Ingrian,Russian Federation,severely endangered,200,3
Iwaidja,Australia,vulnerable,200,1
Kadai,Indonesia,definitely endangered,200,2
Kao,Indonesia,definitely endangered,200,2
Karo,Ethiopia,critically endangered,200,4
Kelo,Sudan,critically endangered,200,4
Kokota,Solomon Islands,vulnerable,200,1
Koneraw,Indonesia,vulnerable,200,1
Koroshi,Iran (Islamic Republic of),critically endangered,200,4
Magori,Papua New Guinea,vulnerable,200,1
Maung,Australia,vulnerable,200,1
Mehináku,Brazil,vulnerable,200,1
Moghol,Afghanistan,critically endangered,200,4
Ningalami,Afghanistan,severely endangered,200,3
Northern Alta,Philippines,severely endangered,200,3
Numbani,Papua New Guinea,vulnerable,200,1
Nung Ven,Viet Nam,vulnerable,200,1
Ongamo,Kenya,critically endangered,200,4
Orejón,Peru,severely endangered,200,3
Pacific Gulf Yupik,United States of America,severely endangered,200,3
Pipil,El Salvador,critically endangered,200,4
Saisiyat,China,severely endangered,200,3
Sauk-Fox,United States of America,critically endangered,200,4
Sepa,Papua New Guinea,vulnerable,200,1
Shark Bay,Vanuatu,vulnerable,200,1
Southern Chocho,Mexico,severely endangered,200,3
Theen,Lao People's Democratic Republic,severely endangered,200,3
Töitschu,Italy,severely endangered,200,3
|Xaise,Botswana,critically endangered,200,4
Beaver,Canada,definitely endangered,195,2
Nootka,Canada,severely endangered,185,3
Tipai,Mexico,severely endangered,184,3
Uru-eu-au-au,Brazil,vulnerable,183,1
Eastern Chocho,Mexico,severely endangered,181,3
Bahonsuai,Indonesia,definitely endangered,180,2
Bedoanas,Indonesia,vulnerable,180,1
Jarawára,Brazil,vulnerable,180,1
Keder,Indonesia,severely endangered,180,3
Straits Salish,"Canada, United States of America",severely endangered,180,3
Zo'é,Brazil,vulnerable,177,1
Central Ojibwe,Canada,definitely endangered,175,2
Kuurinji,Australia,definitely endangered,175,2
Mwatebu,Papua New Guinea,definitely endangered,166,2
Zazao,Solomon Islands,critically endangered,166,4
"Zapotec of the Southern mountains, northwest lowlands",Mexico,definitely endangered,164,2
Pije,New Caledonia (France),severely endangered,161,3
Aweti,Brazil,vulnerable,160,1
Koro,Vanuatu,definitely endangered,160,2
Meriam Mir,Australia,definitely endangered,160,2
Onjab,Papua New Guinea,vulnerable,160,1
Tsimshian,Canada,critically endangered,160,4
Chihuahua Lower Pima,Mexico,definitely endangered,159,2
Sonora Lower Pima,Mexico,severely endangered,159,3
Kaska,Canada,severely endangered,155,3
Aikana,Brazil,definitely endangered,150,2
Aleut,United States of America,critically endangered,150,4
Aleut,United States of America,severely endangered,150,3
Amblong,Vanuatu,definitely endangered,150,2
Arguni,Indonesia,vulnerable,150,1
Assiniboine,United States of America,critically endangered,150,4
Baki,Vanuatu,vulnerable,150,1
Cacua,Colombia,severely endangered,150,3
Camarines Norte Agta,Philippines,severely endangered,150,3
Cubeo,Brazil,definitely endangered,150,2
Gwich'in,United States of America,severely endangered,150,3
Hiw,Vanuatu,definitely endangered,150,2
Katxuyana-Xikuyána,Brazil,vulnerable,150,1
Ket,Russian Federation,severely endangered,150,3
Koyukon,United States of America,critically endangered,150,4
Malmariv,Vanuatu,vulnerable,150,1
Mt. Iraya Agta,Philippines,definitely endangered,150,2
Ocaina,Peru,critically endangered,150,4
Papapana,Papua New Guinea,definitely endangered,150,2
Quechan,United States of America,definitely endangered,150,2
Southern Ayta,Philippines,critically endangered,150,4
Tundra Yukagir,Russian Federation,critically endangered,150,4
Tupari,Brazil,definitely endangered,150,2
Wari,Indonesia,definitely endangered,150,2
Yavapai,United States of America,severely endangered,150,3
Mlabri,"Lao People's Democratic Republic, Thailand",definitely endangered,149,2
Negidal,Russian Federation,critically endangered,147,4
Suarmin,Papua New Guinea,definitely endangered,145,2
Kickapoo,Mexico,critically endangered,144,4
Wab,Papua New Guinea,vulnerable,142,1
Motocintlec,Mexico,critically endangered,141,4
Dengalu,Papua New Guinea,definitely endangered,140,2
Dimbong,Cameroon,critically endangered,140,4
Kunbarlang,Australia,severely endangered,140,3
Machineri,Bolivia (Plurinational State of),severely endangered,140,3
Taworta,Indonesia,vulnerable,140,1
ǂHoa,Botswana,critically endangered,140,4
Handuri,India,critically endangered,138,4
Suruahá,Brazil,vulnerable,136,1
Kutenai,"Canada, United States of America",severely endangered,135,3
Nauna,Papua New Guinea,vulnerable,130,1
Okanagan,"Canada, United States of America",definitely endangered,130,2
Piu,Papua New Guinea,definitely endangered,130,2
Ocaina,Colombia,severely endangered,126,3
Yuki,Bolivia (Plurinational State of),severely endangered,125,3
Asurini do Xingu,Brazil,vulnerable,124,1
Nahukwa,Brazil,definitely endangered,124,2
Aputai,Indonesia,critically endangered,120,4
