ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers 2024,Sources,Latitude,Longitude,Description of the location
70,Laro,Sudan,SDN,lro,Definitely endangered,,,40000,Ethnologue,10.7685,29.902,
986,Minyong,India,IND,adi,Vulnerable,Adi,,40000,,28.2632,95.0537,"Arunachal Pradesh, East Siang Dt., east of Siyom River and north of Pasighat."
1137,Mru,Myanmar,MMR,mro,Severely endangered,Murung; Mrung; Maru; Niopreng,,40000,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",21.7748,92.2741,Chittagong hills
149,Patani Malay,Thailand,THA,,Vulnerable,"Jawi, Yawi",,40000,,6.6482,100.0387,
998,"Quechua of Cajatambo, Pasco and northern Junín",Peru,PER,"qvn, qvr, qva, qxa, qxt, qxh, qvl",Severely endangered,"Quechua, Nunashimi. Yaru.",,40000,,-10.6147,-76.506,"Zona central del Perú, departamento de Junín (provincias de Junín y Tarma y Yauli), departamento de Pasco (provincias de Daniel Carrión y Pasco); parte de  Lima (Cajatambo, Oyón); parte de Huánuco (Ambo, Panao)."
1275,Quichua (Napo),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Kichwa, Runa Shimi, Runa Simi, Quichua Napo lowland (Ethnologue), Quechua",,40000,"- Ethnologue, 2000
- www.codenpe.org
- www.google earth.com, 2008",-0.6371,-77.1459,"Eastern jungle along the Napo, Aguarico, and Putumayo rivers. The former Province of Napo, main location for the Quichua Napo dialect, was divided into three provinces: Napo whose capital is Tena (0:58'47.40""S; 77:48'42.39""W); Sucumbíos whose capital is Nueva Loja (0:06'00.05""N; 76:52'00.59""W), and Orellana whose capital is Coca (0:27'50.66""S; 76:59'01.51""W)"
1104,Tangsa,India,IND,nst,Vulnerable,Tase,,40000,,27.4059,96.427,"Arunachal Pradesh, Changlang and Tirap districts.  Also spoken in Burma"
2210,Tetserret,Niger,NER,,Severely endangered,"
",,40000,"Abdoulmohamine Khamed Attayoub 
Saskia Walentowitz and A.K. Attayoub",15.4907,6.2072,Spoken around Abalak (near Tahoua)
734,Awajun,Peru,PER,agr,Vulnerable,Aguaruna,,39000,"S.E. Overall (2007), 'A Grammar of Aguaruna' (diss. La Trobe, Melbourne)",-4.3464,-77.8271,"Depto. de  Amazonas, Prov. de  Condorcanqui. También en el Depto. de  Loreto, provincia de  Daten. El centro del territorio está en la  ciudad  de  Nieva y sus alrededores."
1134,Khiamngan,India,IND,nky,Vulnerable,"Khiamnuungan, Khiemngan",,38000,,26.0518,95.1031,"Nagaland, Tuensang District. "
1717,Ngile,Sudan,SDN,jle,Severely endangered,"Masakin, Taloka, Darra",,38000,Ethnologue,10.7901,29.8635,
2235,Phunoi,Lao People's Democratic Republic,LAO,pho,Vulnerable,Sinsali,,37311,,21.6833,102.1,
905,Lower Mixe,Mexico,MEX,,Vulnerable,Camotlán,,37000,"Contributor: Leopoldo Valiñas, Census 2005, information provided by INALI",16.9616,-95.093,"Municipalities of Camotlán, Mazatlán, San Juan Guichicovi, Santo Domingo Petapa, state of Oaxaaca"
1151,Maram,India,IND,nma,Vulnerable,,,37000,,25.185,93.9715,"Manipur, Senapati and Imphal districts"
427,Western Mari,Russian Federation,RUS,mrj,Severely endangered,Hill Mari,,36822,"Eeva Kangasmaa-Minn: Mari. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 219–248. | Sirkka Saarinen: Tscheremissisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 719–733.",56.3317,46.5545,westernmost parts of the Republic of Mariy-El and adjacent parts of Kirov (Vyatka) and Nizhniy Novgorod provinces
1082,Chepang,Nepal,NPL,"cdm, byh",Vulnerable,चेपाङ; Bhujeli (dialect); Bujhyal,,36807,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.7552,84.8144,"Makvānpur, Citvan and Dhādiṅ districts."
1356,Chontal Tabasco,Mexico,MEX,chf,Severely endangered,yoko t'an,,36514,"Census 2000, information provided by INALI
Complementary information provided by collaborator H. Antonio García Zúñiga",17.7607,-92.5936," Municipalities of Jalpa de Méndez, Nacajuca, Macuspana, Centla, state of Tabasco"
2414,Muji,China,CHN,"ymx, ymq, ymc, ymi, ymz",Definitely endangered,,,36500,Bradley 2007,23.6,102.7333,
1778,Akatek (Guatemala),Guatemala,GTM,knj,Vulnerable,"Acateco, Akateco",,35763,XI Censeo Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,15.5724,-91.4218,"San Miguel Acatán, San Rafael La Independencia"
1491,Huichol,Mexico,MEX,hch,Vulnerable,wixarika,,35724,"Contributor Zarina Estrada, 2005 Census ",22.65,-103.5833,"Locality of San Andrés Cohamiata in the municipality of Mizquitic and 4 other municipalities in the stat of Jalisco; municipalities of El Nayar, La Yesca, Rosamorada, San Blas, and Santiago Ixcuintla in the state of Nayarit; municipality of Mezquital in the state of Durango"
406,Romansh,Switzerland,CHE,roh,Definitely endangered,,,35095,,46.5777,9.6954,"mainly in Surselva, Seumeir and Unterengadin regions in Graubünden (Grischun)"
938,Apatani,India,IND,apt,Vulnerable,Apa Tani,,35000,,27.5228,93.8177,"Apatani valley, lower Subansiri D."
988,Galo,India,IND,adl,Vulnerable,"Gallong, Adi Galo",,35000,Post 2007,28.1688,94.7433,southern parts of West Siang Dt.
1218,Korwa,India,IND,kfp,Vulnerable,"Koroa, Ernga",,35000,,22.4922,84.1552,"Jharkhand, Palamau and Gumla districts; Chhattisgarh, Surguja, Raigarh and Bilaspur districts; Orissa, Mayurbhanj and Sundargarh districts; Uttar Pradesh, Mirzapur District; West Bengal; Andhra Pradesh"
759,Shuar chicham,Ecuador,ECU,jiv,Definitely endangered,"Shuara, Jivaro, Jibaro (These last two names connote the sense of savage and are rejected by the speakers)",,35000,"- CODENPE, 2008 www.codenpe.org.ec
- Federación Shuar. 1995. “Su organización política”. http://www.guadalupe-ec.org/1_pfarre/03_etnias/cultura3_pol%C3%ADtica.htm. (Downloades: October, 2006.)
- Juncosa, José. 1999.  Mapa lingüístico de la Amazonia ecuatoriana. Quito: Abya-Yala.
- Montaluisa, Luis. 2008. “Lenguas indígenas vivas del Ecuador”. International Expert Group Meeting on Indigenous Languages. UNITED NATIONS. Department of Economic and Social Affairs. Division for Social Policy and Development. Secretariat of the Permanent Forum on Indigenous Issues (8-10 January, 2008, New York) (Downloades: May, 2008.)

",-2.8826,-78.0303,"Provinces of Morona Santiago, Pastaza and Zamora Chinchipe. Smaller communities are located in the provinces of  Sucumbíos and Orellana  (Amazonia) and also in the Coastal region (Provinces of Guayas and Esmeraldas.)"
742,Ticuna,"Brazil, Colombia, Peru","BRA, COL, PER",tca,Definitely endangered,Tikuna,,35000,"Pozzi-Escot (2008), 'El multilingüismo en el Perú'.
Arango and Sánchez (2004), 'Los pueblos indígenas de Colombia'",-4.3464,-70.0048,"Depto. de  Loreto, en el llamado Trapecio Amazónico: fronteras de Perú, Colombia y Brasil"
999,Wanka Quechua,Peru,PER,"qhu, qhj, qxw, qvw",Severely endangered,Quichua. Nunashimi. Huanca.,,35000,,-12.136,-75.2453,"Zona central del Perú: departamento de Junín: provincias de Concepción, Chupaca, Huancayo y Jauja."
296,Sikuani,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN","guh, gob",Vulnerable,"Guahibo, Hiwi. Playero is a subgroup.",,34614,"Arango and Sánchez, 'Los pueblos indígenas de Colombia' (2004)
Rodríguez en González, 'Lenguas indígenas de Colombia' (2000)
Mosonyi and Mosonyi, 'Manual de lenguas indígenas de Venezuela' (2000)",3.4256,-68.8183,"Departments of Arauca, Casanare, Meta, Vichada (Colombia). States of Amazonas, Apure, Bolívar and Guarico (Venezuela)."
1800,Jakaltek (Guatemala),Guatemala,GTM,jai,Definitely endangered,Poptí,,34038,XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations.,15.6685,-91.7111,Concepción Huista; Jacaltenango in dept. of Huehuetenango
1147,Liangmai,India,IND,njn,Vulnerable,Liangmei,,34000,,25.2794,93.6694,"Nagaland, Kohima Dt."
1150,Zeme,India,IND,nzm,Vulnerable,Zemi,,34000,,25.5027,93.5595,"Manipur, Tamenglong Dt.; Nagaland, Kohima Dt."
1277,Highland Mazatec,Mexico,MEX,mau,Vulnerable,"enna, Mazateco de la sierra",,33859,Census 2000 and information provided by INALI,18.1307,-96.8436,"Municipalities of Huautla de Jiménez and Huautepec, state of Oaxaca"
1116,Thangmi,Nepal,NPL,thf,Definitely endangered,थामी; Thami,,33500,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.
Turin, Mark. 2008. Personal communication.

Turin, Mark. 2006.  A Grammar of the Thangmi Language. With an ethnolinguistic introduction to the speakers and their culture. Ph.D. dissertation. Leiden University.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.6969,86.0057,Dolakhā and Sindhupālcok districts
1106,Nocte,India,IND,njb,Vulnerable,,,33000,,27.1618,95.7952,"Arunachal Pradesh, Tirap Dt."
1490,Mayo,Mexico,MEX,mfy,Critically endangered,yorem-nokki,,32869,"Contributor Zarina Estrada, 2000 Census and information provided by INALI",26.9114,-109.6271,"Municipalities of Cajeme, Etchojoa, Huatabampo, Navojoa and others in the state of Sonora; Guasave in the state of Sinaloa."
2309,Lauje,Indonesia,IDN,law,Vulnerable,,,32000,Grimes 2000,-0.4531,119.9816,Sulawesi
431,Danuwar,Nepal,NPL,dhw,Severely endangered,दनुवारी; Dhanwar,,31849,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",26.9661,86.3223,"Sindhulī and Udaypur districts in the Inner Terai, but also in Kābhrepālañcok, Sindhupālcok, Sarlāhī, Mahottarī, Dhanuṣā and Sirahā districts"
1561,Sirmaudi,India,IND,srx,Critically endangered,Sirmauri; Sirmouri; Sirmuri,,31144,,30.9823,77.1569,"Himachal Pradesh, near Shimla and Solan"
1077,Abaza,"Russian Federation, Turkey","RUS, TUR",abq,Definitely endangered,Tapanta,,31000,"В. А. Чирикба: Абазинский язык. — Языки Российской Федерации и соседних государств: энциклопедия I. Москва: Наука, 1997. | Wolfgang Schulze: Abasinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 837–841.",44.1556,41.9368,"parts of the Karachay-Cherkes Republic in the Russian Federation; the Ashkharawa dialect, officially subsumed under Abaza, belongs to Abkhaz"
1171,Koch,India,IND,kdq,Definitely endangered,"Koc, Kocch, Koce, Kochboli, Konch",,31000,see also Robbins Burling 1959 ('Proto-Bodo' in Language 35 (3) : 433-453,25.7603,90.3955,"Meghalaya, West Garo Hills District; Assam; Tripura; Manipur; West Bengal."
2030,Amis,China,CHN,ami,Vulnerable,Ami,,30000,,23.4456,121.4483,Taiwan Province
2525,Biak,Indonesia,IDN,bhw,Vulnerable,,,30000,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-0.3076,131.2207,Irian Jaya
1245,Bumthang,Bhutan,BTN,kjz,Vulnerable,"Bumtanp; Bumtang, Kebumtamp; Bhumtam",,30000,"Driem, George van. 1991. Report on the First Linguistic Survey of Bhutan. Thimphu: Royal Government of Bhutan.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.492,90.7159,Bumthang district
1350,Burgenland Croatian,"Austria, Hungary, Slovakia","AUT, HUN, SVK","bos, hrv, srp",Definitely endangered,,,30000,"Siegfried Tornow: Burgenlandkroatisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 235–245.",47.8435,16.5179,"Burgenland, Austria: 65 settlements; Győr-Moson-Sopron and Vas counties, Hungary: 14 settlements; Bratislava district, Slovakia: 5 settlements; an outlying dialect of Serbo-Croat not listed separately by the SIL"
1768,Dzhidi,Iran (Islamic Republic of),IRN,jpr,Definitely endangered,"Judeo-Persian, Djudi, Judi",,30000,,33.5139,48.0102,"khurramabad, Hamadan, Western Iran."
2451,Judeo-Berber (Israel),Israel,ISR,jbe,Severely endangered,,,30000,"H. Zafrani, D. Schroeter, various websites (S.Mezhoud, 2008)
",31.6767,34.5684,"Dispersed throughout Israel, some at Ashkelon. Emigrated from several regions of Morocco. Two main varieties, one based on Middle Atlas Tamazight, the other on Tachelhit (Sous). Most speakers are bilingual Judeo-Arabic."
1120,Kham,Nepal,NPL,"kgj, kip",Definitely endangered,खाम;,,30000,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28.4321,82.9635,Rukum and Rolpā districts.
565,Ladin,Italy,ITA,lld,Definitely endangered,,,30000,,46.5531,11.8597,"several towns and villages in the Dolomites, including Badia and Marebbe in the Badia valley and Gardena in the Gardena valley in Bolzano Province (South Tyrol), Fassa in the Fassa valley in Trento Province, and Livinallongo in the Cordevole valley in Belluno Province"
440,Lepcha,"Bhutan, India, Nepal","BTN, IND, NPL",lep,Definitely endangered,Lapche; Rong; Róng,,30000,"Plaisier, Heleen. 2008. Personal communication.

Plaisier, Heleen. 2006. A Grammar of Lepcha. Ph.D. dissertation. Leiden University.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",27.1153,88.4687,"Sikkim, Darjeeling district in West Bengal, India. Ilām district in Nepal. Samtsi district in Bhutan."
2427,Maonan,China,CHN,mmd,Vulnerable,,,30000,Bradley 2007,24.8341,107.577,
2221,"Mok (Myanmar, Thailand)","Myanmar, Thailand","MMR, THA",tlq,Definitely endangered,"Loi, Tai Loi",,30000,,21.7333,99.7666,
1715,Moro,Sudan,SDN,mor,Definitely endangered,Dhimorong,,30000,"Ethnologue,
Field visit and intenational humanitarian missions",10.8872,30.1904,Various villages in Logorban
2425,Mulam,China,CHN,mlm,Vulnerable,,,30000,Bradley 2007,24.6341,108.2895,
393,North Saami,"Finland, Norway, Russian Federation, Sweden","FIN, NOR, RUS, SWE",sme,Definitely endangered,sámegiella (North Saami),davvisámegiella,30000,,68.9099,22.9394,"most parts of Finnmark and Troms provinces and the northernmost corner of Nordland Province, Norway; Kiruna and Pajala counties and parts of Gällivare and other adjacent counties in Norrbotten Province (Torne Lappmark) as well as, because of resettlements in the twentieth century, also in more southerly regions, Sweden; Utsjoki and Enontekiö counties, western parts of Inari County, and Vuotso region of Sodankylä County in Lapland Province, Finland; formerly also Petsamo region in Murmansk Province, the Russian Federation"
1012,Quechua of Cajamarca,Peru,PER,"qnt, quf",Severely endangered,Quechua Cajamarca-Cañaris,,30000,,-7.1772,-78.673,"Departamentos de  Cajamarca y Lambayeque, poblados de Incahuasi, Chetilla, Porcon, entre otros."
1276,Quichua (Pastaza),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Pastaza Kichwa, Runa Simi, Quichua Northern Pastaza, Bobonaza Quichua, Alama, Canelos Quichua, Sarayacu Quichua, Quichua Northern Pastaza lowland (Ethnologue), Quechua",,30000,"- www.sarayaku.com
- Ethnologue, 2000
- www.codenpe.gov.ec",-1.7575,-76.8603,"Eastern Amazonian region along Bobonaza and Conambo rivers, Pastaza Province."
1378,Rushani,"Tajikistan, Afghanistan","TJK, AFG",sgh,Definitely endangered,"rušanǐ, рушони; dialect: Khufi (en), хуфский (ru)",,30000,"Elnazarov, A. Personal research,
Official census",37.8705,71.5979,"Rushan district, Gorno Badakhshan Region of Tajikistan and Badakhshan Province of Afghanistan"
979,Tagin,India,IND,,Vulnerable,Tagen,,30000,,28.038,94.2022,"Arunachal Pradesh, Lower Subansiri and Upper Subansiri districts; concentration in town of Daporijo "
2321,Tialo,Indonesia,IDN,txm,Vulnerable,Tomini,,30000,Grimes 2000,0.4888,120.8935,Sulawesi
2181,Tidikelt,Algeria,DZA,tia,Critically endangered,Tidikelt is the name of the region. Now referred to with the generic term Tamazight (of Tidikelt),,30000,"Chaker, Ethnologue, Populaiton figures",26.8828,2.5488,Tidkilet region especially In Salah and several other oases.
659,Toba,Argentina,ARG,tob,Definitely endangered,"Chaco Sur, Qom, Toba Qom, Toba Sur.
Also spoken in Paraguay  (1991 SIL)",,30000,"- Censabella Marisa. 2008. Lenguas del Chaco (unpublished)
- Ethnologue 2000",-25.958,-59.0625,"Eastern Formosa Province, Chaco Province and Santa Fe, Buenos Aires.  "
503,Tundra Nenets,Russian Federation,RUS,yrk,Definitely endangered,ненецкий,,30000,"Tapani Salminen: Nenets. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 516–547.",67.5001,67.7856,"Yamal, Nadym and Taz counties and the northern parts of Ural (Priural’skiy) County in Yamal Nenets Autonomous District; most parts of Ust’-Yeniseysk County in Taymyr (Dolgan and Nenets) Autonomous District; the northernmost parts of European Russia including Nenets Autonomous District, the Kolguyev Island, the northern parts of Mezen’ County and formerly the Novaya Zemlya Islands in Arkhangel’sk Province, as well as Vorkuta Territory and at least formerly the northern parts of Inta Territory and Usinsk, Ust’-Tsil’ma and Izhma counties in the Komi Republic"
421,Vojvodina Rusyn,"Croatia, Serbia","HRV, SRB",,Definitely endangered,Pannonian Rusyn,,30000,"Marc Stegherr: Rusinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 399–408.",45.6351,19.1903,the Bačka region in Vojvodina Province in Serbia and cross-border areas in Croatia; incorrectly subsumed under Rusyn [rue] by the SIL
2408,Wuse,China,CHN,eee,Vulnerable,E,,30000,Shearer & Sun 2002,24.878,109.1053,
1035,Agul,Russian Federation,RUS,agx,Definitely endangered,Aghul,,29399,"З. К. Тарланов: Агульский язык. — Языки Российской Федерации и соседних государств: энциклопедия I. Москва: Наука, 1997.",41.7518,47.6875,"fifteen villages in Agul County and five villages in Kurakh County, amongst them Richa, Burkikhan, Tpig, Kurag, Burshag, and Fite, in the Republic of Daghestan and in a number of expatriate communities elsewhere in the Russian Federation"
1036,Rutul,"Azerbaijan, Russian Federation","AZE, RUS",rut,Definitely endangered,Mukhad,,29383,"Г. Х. Ибрагимов: Рутульский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.",41.5332,47.3181,"seventeen villages, including Rutul, Shinaz, Ikhrek, Myukhrek, Luchek, Amsar and Borch, in Rutul County, and the village of Khnov in Akhty County in the Republic of Daghestan, the Russian Federation; adjacent villages in Kakh (Qax) and Sheki (Šäki) counties, Azerbaijan"
1844,Bateri,Pakistan,PAK,btv,Definitely endangered,"Bateri Kohistani, Batera Kohistani, Baterawal, Baterawal Kohistani",,29000,"Rensch, Calvin R., Sandra J. Decker, and Daniel G. Hallberg. 1992. Languages of Kohistan.‭  Sociolinguistic Survey of Northern Pakistan, 1. Islamabad: National Institute of Pakistan Studies, Quaid-i-Azam University and Summer Institute of Linguistics. xxi, 263 p.",34.9073,72.8675,"Batera, in east bank of the Indus River, Kohistan District, Pakistan "
1146,Mzieme,India,IND,nme,Vulnerable,,,29000,,25.6019,93.8891,"Nagaland, Kohima Dt.; Manipur, Tamenglong Dt."
1112,Ghale,Nepal,NPL,"ght, ghh, ghe",Vulnerable,घले,,28989,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28.2501,84.718,Gorkhā and Dhādiṅ districts
907,Sierra Popoluca,Mexico,MEX,poi,Vulnerable,,,28700,"Contributor: Leopoldo Valiñas, Census 2005, information provided by INALI",18.245,-94.76,"Municipalities of Hueyapan de Ocampo, Soteapan, Tatahuicapan, state of Veracruz"
1446,Kurux (Nepal),Nepal,NPL,kru,Vulnerable,Dhangar; Jhangar; ढाङ्गड; ढाङ्गर; झाङ्गड,,28615,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",26.6032,87.2259,"Dhanuṣa, Sirāhā, Saptarī, Sunsarī and Morāṅ districts"
1170,Deori,India,IND,der,Definitely endangered,"Chutiya, Deuri, Dewri, Drori, Dari",,28000,,27.1911,94.1528,Lakhimpur and Sibsagar districts
1279,Soyaltepec Mazatec,Mexico,MEX,vmp,Vulnerable,"en naxijen, Mazateco de Soyaltepec, Northeastern Mazatec",,27524,Census 2000 and information provided by INALI,18.2499,-96.3995,Municipalities of San Miguel Soyaltepec and Acatlán de Pérez Figueroa
941,Western Mazahua,Mexico,MEX,,Definitely endangered,jnatrjo,,27037,Census 2000 and information provided by INALI,19.4372,-100.3552,Municipality of Zitácuaro  in the state of Michoacán
1430,Sibe,China,CHN,sjo,Severely endangered,"Xibe, Sibo, Xibo",,27000,"Giovanni Stary: Sibe: an endangered language. — Language death and language maintenance: theoretical, practical and descriptive approaches. Edited by Mark Janse and Sijmen Tol, Current Issues in Linguistic Theory 240, Amsterdam and Philadelphia: John Benjamins, 2003. 81–88.",43.6599,81.3427,Qapqal Xibe Autonomous County and adjacent regions in Sinkiang (Xinjiang)
1505,Isthmus Náhuatl,Mexico,MEX,nhk,Vulnerable,,,26632,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)",18.2209,-94.8382,"Municipalities of Mecayapan,  Pajapan, and others in the state of Veracruz "
1105,Sunwar,Nepal,NPL,suz,Vulnerable,सुनवार; Sunuwar; Sunbar; Sonowar; Sonowal; Koĩc,,26611,"Borchers, Dörte. 2008. Personal communication.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com
",27.3485,86.2337,"Rāmechāp, Okhalḍhuṅgā and Sindhulī districts, Likhu and Khimtī river valleys"
1302,Mancagne,Senegal,SEN,knf,Vulnerable,Bola,,26450,"Tucker Childs, Ethnologue, Adjaratou Sall",12.7743,-15.6967,
1576,Gadaba,India,IND,"gdb, gau",Critically endangered,Ollari; Hallari; Allar; Ollar; Gadba; San Gadba; Sano;  Kondekar; Kondkor Pottangi; Salur,,26262,,18.3858,82.7819,"Orissa, Koraput Dt."
1513,Banat Bulgarian,"Romania, Serbia","ROU, SRB",bul,Definitely endangered,,,25000,"Aleksandr D. Duličenko: Banater Bulgarisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 203–208.",45.4832,20.9069,Banat region on both sides of the Romanian-Serbian border; also resettled in Bulgaria; an outlying dialect of Bulgarian
1351,Csángó Hungarian,Romania,ROU,hun,Severely endangered,,,25000,,46.7925,27.1911,"Bacău, Neamţ and Iaşi counties in the Moldova region, Romania; formerly also a few villages in the Republic of Moldova; an outlying dialect of Hungarian not listed separately by the SIL"
1215,Koda,India,IND,cdz,Vulnerable,Kora,,25000,,22.1263,87.0776,"West Bengal, Barddhaman and Bankura districts"
1423,Minhe Monguor,China,CHN,mjg,Definitely endangered,Mangghuer,,25000,"Keith W. Slater: Mangghuer. — The Mongolic languages. Edited by Juha Janhunen. London and New York: Routledge, 2003. 307–324.",36.4919,102.6452,"Minhe Hui and Tu Autonomous County, at the extreme eastern edge of Qinghai"
1862,Miskito (Honduras),Honduras,HND,,Vulnerable,,,25000,Article by Constenla,15.3393,-84.6034,Gracias a Dios dept.
396,Olonetsian,"Finland, Russian Federation","FIN, RUS",olo,Definitely endangered,Livvi,,25000,"Eberhard Winkler: Karelisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 667–672.",61.1273,32.8765,"Olonets County (except the eastern corner), the western parts of Pryazha County and the southwestern part of Kondopoga County of the Republic of Karelia, the Russian Federation; in Finland, Olonetsian is spoken by people evacuated in 1940 and 1944 from former Finnish territories including Salmi and Impilahti counties, currently the eastern parts of Pitkyaranta (Pitkäranta) County and the southern corner of Suoyarvi (Suojärvi) County in the Republic of Karelia"
1006,Saek,"Lao People's Democratic Republic, Thailand","LAO, THA",skb,Definitely endangered,,,25000,,19.3166,104.7833,
