,Unnamed: 0,ISO639-3 codes,Name in English_2023,Alternate names_2023,Degree of endangerment_2023,Number of speakers (2023),Language Branch,Comments,Description of language,Countries_2023,Continent,Coordinates,ID,Name in English_2024,Countries_2024,Country codes alpha 3,Degree of endangerment_2024,Alternate names_2024,Name in the language,Number of speakers 2024,Sources,Latitude,Longitude,Description of the location,Speaker Change (%),Speaker Change (absolute)
5818,5125,hle,Hlersu,Shansu; Lesu; Sansu; 勒蘇; 山蘇; 散蘇; 勒寺帕 [ɬɛɾ55 sɿ55 pha21]; 勒寺潑 [ɬɛɾ55 sɿ55 pho21],"Vulnerable (100 percent certain, based on the evidence available)",15000.0,Sino-Tibetan; Lolo-Burmese,,classified under the Yi Nationality ,China;,East Asia,"23.38, 101.16; 23.19, 101.39; 24.01, 101.52",2445,Hlersu,China,CHN,Vulnerable,"Shansu, Sansu",,15000.0,Bradley 2007,24.3789,102.046,,0.0,0.0
5819,5638,hmr,Hmar,Hamar; Mhar; Hmari,"Vulnerable (60 percent certain, based on the evidence available)",83404.0,Sino-Tibetan; Kukish,,,India;,South Asia,"24.1666666667,93.0",1232,Hmar,India,IND,Vulnerable,,,50000.0,,24.577,93.3178,"Assam, North Cachar and Cachar districts; Manipur, Churachandpur Dt.; Mizoram, Aizawl, Cachar, North Cachar districts; Tripura.",-40.05083689031701,-33404.0
5820,10969,hoc,Ho,हो जगर; ହୋ ଜଗର; hōō jagara,,100.0,Austroasiatic; Munda; North Munda; Kherwarian,,,India;,South Asia,,1212,Ho,India,IND,Vulnerable,Kol,,400000.0,,21.637,86.4404,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal. ",100.0,399900.0
5821,4270,hoa,Hoava,Hoava-Kusaghe,"Threatened (60 percent certain, based on the evidence available)",2360.0,Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian ,,"Hoava and Kusaghe (ksg) are sometimes considered separate languages (see Ethnologue, based on data gathered in 1999) but Davis (2003) shows cognate percentages near 90%% and reports mutual ineligibility.",Solomon Islands;,Pacific,"-8.08333333333,157.5",2633,Hoava,Solomon Islands,SLB,Vulnerable,,,600.0,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-8.1883,157.6036,"North Marovo lagoon, New Georgia",-74.57627118644068,-1760.0
5822,4271,hoh,Hobyot,Habyot; Hobyót; Hobi; Hewbyót,"Endangered (20 percent certain, based on the evidence available)",400.0,Afro-Asiatic; Semitic; Modern South Arabian,,,Yemen;Oman;,Near East,"16.6388,53.0612",1821,Hobyot,"Oman, Yemen","OMN, YEM",Severely endangered,"Howbyot, hubiyya, hubiyyet",,400.0,"Hobyot is closely related to Mehri but it is  neither a Mehri dialector Jibbali one.  Depending to the place of the village  the Hobyot are in contact with Mehri (Mehriyyot variety) or Jibbali nativ espeakers, these contacts have an effect upon this speech (essentially on lexicon).
Simeone-Senelle 1997, 2007, in press.
Johnstone 1987",16.6388,53.0612,"The language is lspoken by Hobyot people and some members of 'Mahra' tribes . It is located in the far-east of Mahra in Yemen,  and in the far-west of Dhofar in Oman,  in  a very narrow and short strip on the border, from the coast into the mountain . In Yemen, from the villages of Hawf and Rehen (but no Hobyot native speakers in Jadib) , on about 12 km into  the mountain overlooking Hawf (and far below Haberut). On th eslopes of the mountains, they rear camels, cows and goats, and cultivate some vegetables and millet, they collect honey. On the coast they are fishermen, some are civil servants. ",0.0,0.0
5823,2375,hoi,Holikachuk,Upper Innoko; Innoko,Dormant (),0.5,Athabaskan-Eyak-Tlingit; Athabaskan; Northern Athabaskan,,"Holikachuk is intermediate between Ingalik and Koyukon, and was only identified as a separate language in the 1970s.",USA;,North America,"64.2254,-155.3027",152,Holikachuk,United States of America,USA,Critically endangered,,,5.0,Krauss 2007.,64.2254,-155.3027,,100.0,4.5
5824,4494,len,Honduran Lenca,Lenka; Lenca,Dormant (),0.0,Lencan,,Honduran Lenca and Chilanga (Salvadoran Lenca) are related but quite distinct languages; neither has any remaining speakers.,Honduras;,"Mexico, Central America, Caribbean","13.6459,-87.0996",301,Lenca,"El Salvador, Honduras","SLV, HND",Extinct,,,0.0,,13.6459,-87.0996,,,0.0
5825,2374,hop,Hopi,Tusayan; Moki; Moqui; Pueblo;,"Threatened (20 percent certain, based on the evidence available)",100.0,Uto-Aztecan; Northern Uto-Aztecan,,,USA;,North America,"35.8721,-110.6205",870,Hopi,United States of America,USA,Vulnerable,,,5000.0,Golla et al. ms.,35.8721,-110.6205,"Spoken in the villages of First Mesa, Second Mesa, and Third Mesa.",100.0,4900.0
5826,4273,hoz,Hozo,Begi-Mao; Mao of Begi;,"Threatened (20 percent certain, based on the evidence available)",3000.0,Afro-Asiatic; Omotic; Mao,,,Ethiopia;,Africa,"9.3352,34.53",77,Hozo,Ethiopia,ETH,Definitely endangered,Begi-Mao,,3000.0,Ethnologue,9.3352,34.53,,0.0,0.0
5827,4274,hpo,Hpon,Hpön; Phun; Phön; Phon; Megyaw; Samong; Hpun;,Dormant ,0.0,Sino-Tibetan; Lolo-Burmese,,,Myanmar;,Southeast Asia,"24.65,97.0666",2219,Hpun,Myanmar,MMR,Extinct,Hpon,,0.0,,24.65,97.0666,,,0.0
5828,4278,hru,Hruso,Aka-Hruso; Ĝusso; Aka; Hrusso; Angka; Angkae; Tenae; Hruso B; Hrus(s)o; Angka(e); Gusso; ,"Threatened (20 percent certain, based on the evidence available)",3000.0,Isolate,,,India;,South Asia,"27.1666, 92.6312",1097,Aka,"India, Sudan","IND, SDN",Definitely endangered,"Hruso, Hrusso, Akha",,4000.0,,27.1666,92.6312,Bichom valley in West Kameng Dt,33.33333333333333,1000.0
5829,1247,huo,Hu,Angku; Āng-kú; 戶語,"Endangered (40 percent certain, based on the evidence available)",700.0,Austro-Asiatic; Palaungic; East Palaungic; Angkuic,,,China;,East Asia,"22.1743,100.9264",2207,Hu,China,CHN,Definitely endangered,"Kon Keu, Kongge",,1000.0,"1996 fieldwork by Frank Proschan, Weera Ostapirat, Wang Qingliu",22.1743,100.9264,"Na Hoy Pha village; also in Man Pa Yuk, Man Pa Lau, Man Pong Thang, Na Pang",42.857142857142854,300.0
5830,3278,hub,Huambisa,Jíbaro; Xívaro; Huambiza; Wambisa; Wampis; Maina; Shuar-Huampis,"Threatened (20 percent certain, based on the evidence available)",8000.0,Chicham family (Jivaroan),,,Peru;,South America,"-4.0,-78.0",735,Wampis,Peru,PER,Vulnerable,"Huambisa, Wambisa",,8000.0,"Pozzi-Escot (2008), 'El multilingüismo en el Perú'",-3.4476,-77.7941,Departamentos de Amazonas  y Loreto; cuenca de  ríos Morona y Santiago.,0.0,0.0
5831,5099,tee,Huehuetla Tepehua,"Tepewa, Huehuetla; Tepehua de Hidalgo; Tepehua de Huehuetla; Tepehua; Tepewa;","Threatened (20 percent certain, based on the evidence available)",3000.0,Totonacan; Tepehua,,"Ethnologue distinguishes 3 Tepehua languages:
Tepehua, Huehuetla  [tee]	
Tepehua, Pisaflores  [tpp]	
Tepehua, Tlachichilco [tpt].
INALI also distinguishes 3 ""variantes"" of Tepehua.

The categorization adopted here is that of Carolyn MacKay and Frank Trechsel.",Mexico;,"Mexico, Central America, Caribbean","20.5,-98.0",921,Huehuetla Tepehua,Mexico,MEX,Definitely endangered,,,1603.0,Contributors: Carolyn MacKay and Frank Treschel; their sources: Census 2005 and INALI information,20.46,-98.0761,"Huehuetla, state of Hidalgo; Pantepec, state of Puebla",-46.56666666666667,-1397.0
5832,6569,hch,Huichol,"Vixaritari Vaniuqui, Vizaritari Vaniuki","Vulnerable (20 percent certain, based on the evidence available)",35724.0,Uto-Aztecan; Southern Uto-Aztecan; Corachol,,,Mexico;,"Mexico, Central America, Caribbean","21.95, -104.06",1491,Huichol,Mexico,MEX,Vulnerable,wixarika,,35724.0,"Contributor Zarina Estrada, 2005 Census ",22.65,-103.5833,"Locality of San Andrés Cohamiata in the municipality of Mizquitic and 4 other municipalities in the stat of Jalisco; municipalities of El Nayar, La Yesca, Rosamorada, San Blas, and Santiago Ixcuintla in the state of Nayarit; municipality of Mezquital in the state of Durango",0.0,0.0
5833,3277,huh,Huilliche,Williche; Veliche; Huiliche; Beliche; Huilche; Mapuche; Chesungun; Chedungun; Tsesungun; Chesumun; Tsesumun; ,,100.0,Araucanian,,"Campbell (2012:97): Willem Adelaar (personal communication) points out that Huilliche (“Beliche”, Veliche, Huiliche), often considered a dialect of Mapudungun, is likely a separate language.
    Crevels (2012:190): Huilliche is related to Mapuche, but barely intelligible with it.

Although they appear in some Colonial texts, the alternate names Huilche and Huiliche are deemed incorrect by some, as the graphemes ""l"" and ""ll"" represent distinct phonemes in this language. Writing the name of the language as ""Huiliche"" rather than ""Huilliche"" changes the meaning of the term substantially, signifying something like ""people of the nail"" rather than ""people of the south.""",Argentina;Chile;,South America,"-40.4803,-73.5424",604,Huilliche,Chile,CHL,Critically endangered,Beliche. Veliche. Tsesugun.,,2000.0,,-40.4803,-73.5424,"Southern Chile, San Juan de la Costa (Osorno) and shores and islands of Lake Ranco (Valdivia). Some communities in the area of Quellón, in the southern part of the island of Chiloé, .",100.0,1900.0
5834,1787,huw,Hukumina,Bambaa;,"Critically Endangered (80 percent certain, based on the evidence available)",1.0,Austronesian; Malayo-Polynesian; Central Maluku; West Central Maluku,,,Indonesia;,Southeast Asia,"-3.1514,126.2713",2592,Hukumina,Indonesia,IDN,Extinct,Bambaa,,0.0,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-3.1514,126.2713,"Buru Island, Maluku",-100.0,-1.0
5835,4288,huy,Hulaulá,Judeo-Aramaic; Lishana Noshan; Lishana Axni; Jabali; Kurdit; Galiglu; 'Aramit; Hula Hula;,"Threatened (20 percent certain, based on the evidence available)",9500.0,Afro-Asiatic; Semitic; Aramaic,,,Israel;Iran;,Near East,"34.1703,46.1432",2173,Hulaula (Israel),Israel,ISR,Severely endangered,"Lishana Noshan, Lishana Axni, Jabali, Galligallokh, Hula Hula, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,10000.0,H. Mutzafi (1999 and personal communication),32.2128,34.9118,All over the country.  Population originally immigrated from Iranian Kurdistan and bordering Iraqi towns.  ,5.263157894736842,500.0
5836,4288,huy,Hulaulá,Judeo-Aramaic; Lishana Noshan; Lishana Axni; Jabali; Kurdit; Galiglu; 'Aramit; Hula Hula;,"Threatened (20 percent certain, based on the evidence available)",9500.0,Afro-Asiatic; Semitic; Aramaic,,,Israel;Iran;,Near East,"34.1703,46.1432",2203,Hulaula (Iran),Iran (Islamic Republic of),IRN,Extinct,"Lishana Noshan, Lishana Axni, Jabali, Galligallokh, Hula Hula, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,,,35.9068,46.1535,Iranian Kurdistan and bordering Iraqi towns,,
5837,2379,hur,Hulʻqʻumiʻnumʻ (Halkomelem),Halkomelem; Hul'q'umi'num'; Halq'eméylem; hən̓q̓əmin̓əm; Hul’q’umin’um’; Holkomelem;,"Severely Endangered (80 percent certain, based on the evidence available)",2518.0,Salishan; Central Salish,,,USA;Canada;,North America,"49.1900000, -123.0000000",258,Halkomelem,"Canada, United States of America","CAN, USA",Severely endangered,,,375.0,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievals
UNESCO Atlas 2nd edition (Wurm (2001))
Ethnologue: Languages of the World (Gordon, (2005))
http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.html
http://en.wikipedia.org/wiki/Portal:Contents",48.7715,-123.6678,Spread over 52 communities in Canada,-85.10722795869738,-2143.0
5838,1213,hnu,Hung,Cuói; K'katiam-Pong-Houk; Pheng; Theng; P'eng; Phong,"Endangered (40 percent certain, based on the evidence available)",500.0,Austro-Asiatic; Vietic; Pong-Chut,,Very closely related to Pong and Tum.,Vietnam;Laos;,Southeast Asia,"18.3333,105",526,Hung,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",Definitely endangered,,,1000.0,,18.9062,105.05,,100.0,500.0
5839,2316,huz,Hunzib,Gunzib; гунзибский язык; ჰუნზიბური ენა; гьонкьос мыц; honƛʼos mɨc; нахадинский язык; Enzeb; Xunzal; Khunzal; Khunzaly; ,"Endangered (60 percent certain, based on the evidence available)",700.0,Northeast Caucasian; Daghestanian; Tsezic,"The Hunzib language belongs to the Dido subgroup of the northwestern group (Avar-Ando-Dido) of Dagestan languages. There is no consensus on the position of the Hunzib language in the genealogy of Dido languages. E. Bokarev considers it to be an independent language, E. Lomtadze is of the opinion that it is only a dialect. There are no distinct dialects within the Hunzib language itself, just slight differences in pronunciation. (The Red Book of the Peoples of the Russian Empire)",,Russia;,Caucasus;Europe;East Asia,"42.1666666667,46.25",1043,Hunzib,Russian Federation,RUS,Definitely endangered,Gunzib,,1839.0,"И. А. Исаков: Гунзибский язык. — Языки Российской Федерации и соседних государств: энциклопедия I. Москва: Наука, 1997.",42.1654,46.2991,"the villages of Gunzib, Nakhada, and Garbutl’ (Gorbutl’) in Tsunta County in the Republic of Daghestan",100.0,1139.0
5840,1862,hup,Hupa,Hoopa-Chilula; Hupa-Chilula-Whilkut; Hoopa;,,100.0,Athabaskan-Eyak-Tlingit; Athabaskan; Pacific Coast Athabaskan,,,USA;,North America,"41.0982, -123.68",780,Hupa,United States of America,USA,Critically endangered,,,12.0,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World's Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44.  London: Routledge.",41.7624,-123.7028,Hoopa Valley Reservation in northwest California,-88.0,-88.0
5841,3275,jup,Hupda,"Hup, Hubde; Hupdë; Hupdá Makú; Jupdá Macú; Makú-Hupdá; Macú de Tucano; Ubdé; Hupdë;","Threatened (20 percent certain, based on the evidence available)",1500.0,Nadahup; Eastern Makuan,,"The term ""Makú"" has pejorative connotations; ""Nadahup"" is the preferred term for this group of languages. ",Brazil;Colombia;,South America,"0.166666666667,-69.25",1771,Hupda (Brazil),Brazil,BRA,Vulnerable,"Hupda, Hupdë (Hup is singular)",,1900.0,"Databank Moore, 2008.",0.7909,-68.247,,26.666666666666668,400.0
5842,3275,jup,Hupda,"Hup, Hubde; Hupdë; Hupdá Makú; Jupdá Macú; Makú-Hupdá; Macú de Tucano; Ubdé; Hupdë;","Threatened (20 percent certain, based on the evidence available)",1500.0,Nadahup; Eastern Makuan,,"The term ""Makú"" has pejorative connotations; ""Nadahup"" is the preferred term for this group of languages. ",Brazil;Colombia;,South America,"0.166666666667,-69.25",2000,Hupda (Colombia),Colombia,COL,Definitely endangered,Hup,,1500.0,"Epps (2005), 'A Grammar of Hup'",0.3845,-70.1367,,0.0,0.0
5843,666,arh,Ica,Arhuaco; Aruaco; Bintuk; Bíntucua; Bintucua; Ijca; Ijka; Ika; Ike; Bintukwa; Arwako; Busitana; Icu; Ixca; Bintuka;,"Vulnerable (20 percent certain, based on the evidence available)",14799.0,Chibchan; Magdalenic,,,Colombia;,South America,"10.6666666667,-73.75",286,Aruaco,Colombia,COL,Vulnerable,"Ika, Ijka, Bíntukwa",,14799.0,"Arango and Sánchez, 'Los pueblos indígenas de Colombia' (2004)",10.0986,-73.5424,"Sierra Nevada de Santa Marta, northern Colombia",0.0,0.0
5844,4298,ikx,Ik,Icietot; Teuso; Teuth; Ngulak;,"Vulnerable (100 percent certain, based on the evidence available)",16000.0,Kuliak,,,Uganda;,Africa,"3.75,34.1666666667",107,Ik,Uganda,UGA,Severely endangered,Teuso,,2000.0,"Bernd Heine, Christa König",3.5024,34.1894,,-87.5,-14000.0
5845,3220,txi,Ikpéng,Txikāo; Ikpeng; Txicão; Txikân; Chikaon; Chicao; Tunuli; Tonore;,"Endangered (20 percent certain, based on the evidence available)",342.0,Cariban; Pekodian,,,Brazil;,South America,"-11.7376,-53.616",1239,Ikpeng,Brazil,BRA,Vulnerable,"Txicão, Txikão",,342.0,"www.socioambiental.org
Moore, 2008, IBGE databank 
Moore, 2008, Scientific American (Brasil) 
",-11.7376,-53.616,"The group lives in indigenous Park of the Xingu, left bank of the Upper Xingu in the Uaví River mouth area, to the north of the Kayabí settlements - Mato Grosso - Brazil",0.0,0.0
5846,3429,ili,Ili Turki,T'urk; Tuerke; 伊犁突厥語; 伊犁土爾克語,"Critically Endangered (80 percent certain, based on the evidence available)",100.0,Turkic; Central Asian Turkic,,,China;,East Asia,"44.0244,81.145",1433,Ili Turk,China,CHN,Severely endangered,,,120.0,Zhào Xiāngrú and Reinhard F. Hahn: The Ili Turk people and their language. Central Asiatic Journal 33 (1989): 260–289.,44.0244,81.145,"Ili Valley near Kuldja, Xinjiang; an outlying dialect of Uzbek",20.0,20.0
5847,4300,ilv,Ilue,Idua;,"Threatened (20 percent certain, based on the evidence available)",5000.0,Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,,,Nigeria;,Africa,"4.9185,8.2397",30,Ilue,Nigeria,NGA,Critically endangered,Idua,,5000.0,"Roger Blench, Ethnologue",4.9185,8.2397,,0.0,0.0
5848,2828,dul,Inagta Alabat,Alabat Island Agta; Alabat Island Dumagat;,"Critically Endangered (80 percent certain, based on the evidence available)",13.0,Austronesian; Malayo-Polynesian; Greater Central Philippine,,,Philippines;,Southeast Asia,,2212,Alabat Island Agta,Philippines,PHL,Critically endangered,,,30.0,,14.1209,122.0282,,100.0,17.0
5849,3431,smn,Inari Saami,"инари-саамский язык; inarinsaame; anarâškielâ; Anárašgiella; Enaresamisk; Enaresamiska; ""Inari Lappish;"" ","Endangered (100 percent certain, based on the evidence available)",300.0,Uralic; Saami,,,Finland;,Europe,"68.8446,27.2817",359,Inari Saami,Finland,FIN,Severely endangered,,anarâškielâ,400.0,,68.8446,27.2817,central Inari County of Lapland Province,33.33333333333333,100.0
5850,4294,idr,Indri,Yanderika; Yandirika;,"Severely Endangered (20 percent certain, based on the evidence available)",700.0,Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,,,South Sudan;,Africa,"8.4397,25.5926",1703,Indri,Sudan,SDN,Severely endangered,"Yanderika, Yandirika

Close to Feroge.",,700.0,Ethnologue,8.4397,25.5926,"Southern Sudan, southwest, in a small area around Raga",0.0,0.0
5851,4305,"inb, inj",Inga,"Ingano
",,100.0,Quechuan; Quechua IIB,,"The question of how to distinguish between entities that are dialects of a single language vs. those that are separate languages is particularly serious in the case of Quechuan languages and dialects, and much work remains to be done. Though it is well-known and very clear that there are a number of distinct languages in the Quechua complex, some very distinct, the tendency to consider them all merely dialects of “Quechua” persists in many circles. (Cerrón-Palomino 1987). 

Ethnologue distinguishes Inga (Highland Inga) [inb] from Jungle Inga (Lowland Inga) [inj], where others do not.",Colombia;,South America,"1.0, -77.0",1853,Inga,Colombia,COL,Severely endangered,"Inga, Ingano",,8000.0,Arango & Sánchez. Los pueblos indígenas de Colombia en el umbral del nuevo milenio. 2004.,1.1658,-77.0011,"Sibundoy Valley in and around Santiago, San Andrés and Colón; Aponte (Department of Nariño)",100.0,7900.0
5852,1457,izh,Ingrian,Izhorian; ижорский язык; inkeroisen kieli; ižoran keeli; isuri keel; izhor; inkerin kieli; Ingrisch; Isurisch; Ižorisch; ingrien; užory; ižorskij jazyk; inkerioinen; maakeeli,"Severely Endangered (80 percent certain, based on the evidence available)",130.0,Uralic; Finnic,,Sometimes considered a dialect of Finnish.,Russia;,Caucasus;Europe;East Asia,"59.716667,28.466667",360,Ingrian,Russian Federation,RUS,Severely endangered,,,200.0,"Eberhard Winkler: Ingrisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 665–666.",59.7397,28.7017,"three small areas on the southern shore of the Gulf of Finland in St. Petersburg (Leningrad) Province in the Russian Federation: the cape of Kovashi (Hevaa) in Lomonosov County, the cape of Soykin (Soikkola) in Kingisepp County, and the cape of Kurkola in the lower Luga River area in the same county; a fourth area was formerly found along the Oredezh River in Gatchina County",53.84615384615385,70.0
5853,3697,aij,Inter-Zab Jewish Neo-Aramaic,Lishanid Noshan; Neo-Aramaic (Arbel Jewish); Lishana Didán; Hulani; Kurdit; Galigalu; Jbeli;,"Severely Endangered (80 percent certain, based on the evidence available)",100.0,Afro-Asiatic; Semitic; Aramaic,,,Israel;Iraq;,Near East,"36.1128, 44.033",2175,Lishanid Noshan (Israel),Israel,ISR,Severely endangered,"Lishana Didan, Hulani, Galligallokh, Jbeli, Hodhayutha, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,3000.0,"H. Mutzafi (p.c.)
Mutzafi, H. The Jewish Neo-Aramaic Dialect of Koy Sanjaq (Iraqi Kurdistan)
Semitica Viva 32, Wiesbaden: Harrassowitz, 2004.",31.7188,34.7772,All over the country.  Population originally immigrated from the province of Irbil in Iraqi Kurdistan,100.0,2900.0
5854,3697,aij,Inter-Zab Jewish Neo-Aramaic,Lishanid Noshan; Neo-Aramaic (Arbel Jewish); Lishana Didán; Hulani; Kurdit; Galigalu; Jbeli;,"Severely Endangered (80 percent certain, based on the evidence available)",100.0,Afro-Asiatic; Semitic; Aramaic,,,Israel;Iraq;,Near East,"36.1128, 44.033",2184,Lishanid Noshan (Iraq),Iraq,IRQ,Extinct,"Lishana Didan, Hulani, Galligallokh, Jbeli, Hodhayutha, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,0.0,"H. Mutzafi (p.c.)
Mutzafi, H. The Jewish Neo-Aramaic Dialect of Koy Sanjaq (Iraqi Kurdistan)
Semitica Viva 32, Wiesbaden: Harrassowitz, 2004.",36.1777,44.165,"Province of Irbil, in Iraqi Kurdistan",-100.0,-100.0
5855,6449,ike,Inuktitut,ᐃᓄᒃᑎᑐᑦ; Inuit; Eastern Arctic Eskimo; Eastern Canadian Eskimo,"Vulnerable (40 percent certain, based on the evidence available)",30000.0,Eskimo-Aleut; Eskimo; Inuit,"Inuktitut is the collective name for the dialects of Inuit (Eastern Eskimo) spoken on the northern coast of Canada, from the Mackenzie Delta in the west to Labrador in the east.  The dialects of Western Canadian Inuktitut are usually distinguished from Eastern Canadian Inuktitut, the boundary falling between the Central Arctic coast and Baffin Island, but there is no sharp discontinuity. All of the Inuktitut speakers of the newly formed territory of Nunavut, which encompasses dialects belonging to both the Western and Eastern divisions, can understand one another’s speech.",,Canada;,North America,"58.102769,-68.461464",2362,Nunavimmiutitut,Canada,CAN,Vulnerable,,,9105.0,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievals
UNESCO Atlas 2nd edition (Wurm (2001))
Ethnologue: Languages of the World (Gordon, (2005))
http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.html
http://en.wikipedia.org/wiki/Portal:Contents",58.1665,-68.3605,Spread over 15 communities in Canada,-69.65,-20895.0
5856,6449,ike,Inuktitut,ᐃᓄᒃᑎᑐᑦ; Inuit; Eastern Arctic Eskimo; Eastern Canadian Eskimo,"Vulnerable (40 percent certain, based on the evidence available)",30000.0,Eskimo-Aleut; Eskimo; Inuit,"Inuktitut is the collective name for the dialects of Inuit (Eastern Eskimo) spoken on the northern coast of Canada, from the Mackenzie Delta in the west to Labrador in the east.  The dialects of Western Canadian Inuktitut are usually distinguished from Eastern Canadian Inuktitut, the boundary falling between the Central Arctic coast and Baffin Island, but there is no sharp discontinuity. All of the Inuktitut speakers of the newly formed territory of Nunavut, which encompasses dialects belonging to both the Western and Eastern divisions, can understand one another’s speech.",,Canada;,North America,"58.102769,-68.461464",2372,Qikiqtaaluk nigiani,Canada,CAN,Vulnerable,"South Baffin, Eastern Canadian Inuktitut",,5740.0,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievals
UNESCO Atlas 2nd edition (Wurm (2001))
Ethnologue: Languages of the World (Gordon, (2005))
http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.html
http://en.wikipedia.org/wiki/Portal:Contents",63.7577,-68.5178,Spread over 5 communities in Canada,-80.86666666666666,-24260.0
5857,6449,ike,Inuktitut,ᐃᓄᒃᑎᑐᑦ; Inuit; Eastern Arctic Eskimo; Eastern Canadian Eskimo,"Vulnerable (40 percent certain, based on the evidence available)",30000.0,Eskimo-Aleut; Eskimo; Inuit,"Inuktitut is the collective name for the dialects of Inuit (Eastern Eskimo) spoken on the northern coast of Canada, from the Mackenzie Delta in the west to Labrador in the east.  The dialects of Western Canadian Inuktitut are usually distinguished from Eastern Canadian Inuktitut, the boundary falling between the Central Arctic coast and Baffin Island, but there is no sharp discontinuity. All of the Inuktitut speakers of the newly formed territory of Nunavut, which encompasses dialects belonging to both the Western and Eastern divisions, can understand one another’s speech.",,Canada;,North America,"58.102769,-68.461464",151,Kivallirmiutut,Canada,CAN,Vulnerable,Eastern Canadian Inuktitut,,4675.0,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievals
UNESCO Atlas 2nd edition (Wurm (2001))
Ethnologue: Languages of the World (Gordon, (2005))
http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.html
http://en.wikipedia.org/wiki/Portal:Contents",61.0982,-94.1201,Spread over 5 communities in Canada,-84.41666666666666,-25325.0
5858,6449,ike,Inuktitut,ᐃᓄᒃᑎᑐᑦ; Inuit; Eastern Arctic Eskimo; Eastern Canadian Eskimo,"Vulnerable (40 percent certain, based on the evidence available)",30000.0,Eskimo-Aleut; Eskimo; Inuit,"Inuktitut is the collective name for the dialects of Inuit (Eastern Eskimo) spoken on the northern coast of Canada, from the Mackenzie Delta in the west to Labrador in the east.  The dialects of Western Canadian Inuktitut are usually distinguished from Eastern Canadian Inuktitut, the boundary falling between the Central Arctic coast and Baffin Island, but there is no sharp discontinuity. All of the Inuktitut speakers of the newly formed territory of Nunavut, which encompasses dialects belonging to both the Western and Eastern divisions, can understand one another’s speech.",,Canada;,North America,"58.102769,-68.461464",2373,Qikiqtaaluk uannangani,Canada,CAN,Vulnerable,"North Baffin, Eastern Canadian Inuktitut",,4550.0,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievals
UNESCO Atlas 2nd edition (Wurm (2001))
Ethnologue: Languages of the World (Gordon, (2005))
http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.html
http://en.wikipedia.org/wiki/Portal:Contents",69.3878,-81.615,Spread over 8 communities in Canada,-84.83333333333334,-25450.0
